"complaint","category"
"sudah laporan perapian pohon .karena menghalangi jaringan kabel2 beresiko tinggi.
sudah hampir 7 bulan tidak ada tindak lanjut.
beginikah kantor pelayananmasyarakat",hutan
sudah bbrp minggu ini terjadi kelambatan pengangkutan sampah dr kompleks rumah kami krn dr dlh gak dtg ngangkut yg sdh numpuk di tps kami. kendalanya di mana ya? minggu ini aja sdh msk hari ke3 loh sampah rumahan saya blm diangkut 🙁🙁🙁🙁🙁🙁🙁🙁 …,sampah
"tolong buat dlh kota malang bs mengarahkan yg bagian nyapu jalan jangan pagi hari, kl pun pagi hari ,sebisa mungkin utk disiram terlebih dahulu , kasihan buat pengendara yg pagi hari berangkat kerja pakai motor hrs terkontaminasi sm debu, sy sering lihat itu mlai dari bululawang ke utara (arjowinangun, swjjr, sulfat) jg daerah lain , terutama yg kanan kiri bahu jalan itu masih tanah
> juga buat yg pakai pemotong rumput, sering sy liat tdk ada pengamannya , kira” kl ada krikil  sp mengenai mobil yg lwt n mengakibatkan pecah kaca mobil mau ganti..?? tolong diperhatikan hal” spt itu…",fasilitas umum
"hallo bapak ibu yg terhormat
saya mau tanya , untuk tempat pembuangan limbah rumah tangga dimana ya .
seperti sofa , lemari ,dipan dll.
mohon fast respon nya ya bapak dan ibu yg terhormat
(tak kasih bintang 1 su , gak di respon cok!)",limbah
"dlh menangani urusan :
1. amdal, ukl-upl (perijinan bidang lingkungan hidup).
2. pelayanan sampah (retribusi sampah, tps, komposting, pilah daur ulang, tpa)
3. pelayanan taman, potong pohon, pembibitan pohon.
4. uji laboratorium kualitas air bersih, air limbah, dan udara.
5. pemakaman.",sampah
"kepada dlh, mohon di bantu untuk di beri tempat sampah di sepanjang ruko jl. kawi atas. karna setiap orang lewat kalo buang sampah mesti di trotoar pejalan kaki atau depan ruko. terima kasih",sampah
tumbuhan anda di alun alun bunder malang mohon untuk segera disiram karena sungguh kering. sayang kurang dirawat,others
kepada yang terhormat kepala dlh kota malang tolong kebijakannya dievaluasi. saya sebagai masyarakat sangat sangat keberatan dengan kenaikan iuran sampah 300%,sampah
tolong di sekitaran jalan lawu (sekitaran smpn5) hampir setiap hari ada yang bakar2 sampah.. meresahkan sekali. pagi2 sudah bau asap sekitaran rumah sampe ke jalan ijen juga. jam 6 pagi uda bikin polusi udara. mohon segera ditindak. sudah sangat meresahkan,sampah
"07 feb 2022 pk 08.53 tlp ke ldh untuk menanyakan jadwal potong / merapikan ranting pohon karena membahayakan sekitaran bawah pohon, dijawab belum tahu jadwalnya sambil becanda dengan rekannya.
ntah apanya yang lucu???!!!
atau mungkin pengendara yang kejatuhan ranting pohon itu dianggap lucu sama mbaknya?!!!
saya harap segera ditanggapi untuk dirapikan rantingnya guna keamanan sekitaran pohon.
thanks!",hutan
dulu pln atau listrik di daerah tertentu di kota malang mati gak ada angin gak ada hujan begitupun nyalanya lama pula sekarang sampah pada numpuk terus gak di urus maunya apa sih nih yang kerja di pemerintah kalian makan gaji buta kah sini dah seminggu sampah tak di angkut daerah perumahan graha dewata,sampah
"halo bapak/ibu dlh , tolong untuk di respon email dan dm ig saya . karena urgent dan butuh bantuan bapak/ibu dlh sekalian 🙏🏻 trimakasih …",others
"dinas lingkungan hidup kota malang, apabila ingin ngurus dokumen atau surat-surat mending langsung masuk aja dari belokan itu terus sampe masuk gapura, lalu belok kanan sampai bertemu truk sampah, belok kiri dan bisa parkir di area tersebut. terdapat gedung kesekretariatan disama. semoga lancar urusannya",sampah
"tolong di sekitar gor ken arok, kota malang disediakan bak sampah. karena masyarakat membuang sampah secara sembarangan di lahan belakang gor dan ada juga yang suka membuang ke sungai",sampah
"dibantu perampingan pohon di depan alfamidi simpang balapan. saya sudah info lewat email, lewat dm ig. tapi belom ada respon. tolong ditindak lanjuti. ig aktif tapi di dm tidak respon.",hutan
"unit kerja pelayanan umum yg mengurusi persampahan,limbah, ruang terbuka hijau, pemangkasan pohon serta perawatan dan pemeliharaan taman & hutan kota, yg ada di kota malang",sampah
"keren
bersih
teduh area nya
mobil dinas nya banyak
pegawai nya sopan sopan
suka menyapa",layanan
jalan bingkil itu ternyata agak susah ditemukan kalo blm paham daerah comboran...,fasilitas umum
"jangan menyapu di cikrak, jangan berkerumun di depan toko. kawasan mulyorejo depan es teler. sebelah alfamart mulyorejo.",fasilitas umum
dinas lingkungan hidup kabupaten pasuruan berada di wilayah kompleks perkantoran pemkab. pasuruan. lokasinya berada di daerah raci pasuruan. untuk kantor dinas lingkungan hidup sendiri berada di lantai 3 gedung di perkantoran ini.,others
"ruangannya sepii, resepsionisnya sepertinya anak sekolah jadi belum tau begitu banyak tentang orang2 dlh",others
"dinas lingkungan hidup
pelayanan bagian depannya sungguh tidak ada etika
melayani tamu sambil video call
tidak ada azas pelayanan
mbak mbak dia.",layanan
mudah juga mencari dinas penataan tanaman kabupaten sidoarjo. malam ini pun masih buka. namun pelayanan saja yang tidak bisa. siep 🖒😁 …,layanan
"tempat pkl yang sangat istimewa bagi saya. banyak pengalaman dan pelajaran yang dapat saya dapatkan seperti informasi kebersihan sungai, problem trafic light, dan perencanaan pembangunan beberapa tahun kedepan bagi dlhk sidoarjo. selain itu para pegawainya juga sangat ramah dan kekeluargaan. terimakasih pak sis, pak anas, mas budi, mbak mita, mbak riris dan semua pegawai lainnya. semoga kita bisa bertemu dikesempatan lainnya yaaaa aamiin❤️",others
"lapor, lampu penerangan umum antara flyover wage dan kedungturi mati. entah sudah berapa tahun, 6 buah tiang pju tak menyala. klo malam gelap gulita bak di hutan rimba.
tolong dibantu untuk segera dibenahi. jangan sampai, iuran pju yg ditarik saat beli token listrik/bayar tagihan listrik, menjadi sia2.",hutan
"tolong bisa dibantu lampu pju di kelurahan kalipecabean candi bisa diperbaiki, mengingat sudah lama mati bila malam. kondisi gelap dan rawan kecelakaan serta rawan kejahatan. sekiranya hal ini bisa dibantu untuk perbaikkan. terima kasih",others
"zerowaste adalah salah satuprogram dari dinas kebersihan dan pertamanan kabupaten sidoarjo bekerja sama dengan pemda sidoarjo dengan moto ""kebersihan sebagian dari iman"" . program kegiatan ini sangat menarik dan fadilahnya sangat luar biasa pula, betapa tidak bayangkan setiap 1 minggu sekali remaja- remaja dari berbagai sekolahan di kab.sidoarjo ini diajak bersama-sama gotong - royong(trash mob)membersihkan lingkungan yang kotor alias kumuh yang disebabkan oleh sampah - sampah yang di buang sembarangan tempat .terutama sampah plastik yang menjadi biangkladi sampah yang sungkar untuk diuraikan oleh bakteri pengurai.
kegiatan ini sangat menarik untuk diikuti bukan hanya remaja tetapi semua elemen masyarakat juga bisa ikut terjun dalam kegiatan ini. saya sendiri termasuk anggota peserta dokumentasi program zerowaste perwakilan dari team kampoeng sinaoe. harapan kedepan setelah diadakan kegiatan ini kab. sidoarjo menjadi lebih bersih dari sampah dan berkomitmen sidoarjo besrsih dari sampah plastik 2017. harapan saya pribadi setelah program ini selesai yaitu jangan merasa puas dengan apa yang telah kita lakukan selama ini demi lingkungan kita terus terapkan ke saudara- saudara kita betapa pentingnya peduli lingkungan. alam adalah sahabat umat manusia jangan menyakiti alam dengan tangan- tangan jahil dan kotor karena alam pun juga bisa berontak dan bisa menjadi musuh dan menimbulkan bencana bagi umat manusia. terimakasih",sampah
"melaporkanlampu pju di dusun tumapel rt02 rw02 desa ketajen,kec.gedangan,sidoarjo tepatnya lampu pju di sebelah rmh pak rw04 padam sdh 3 minggu ini,mhn untuk segera diperbaiki,matur nuwun.",others
"knpa sda daerah begitu luasnya, blm terbagi wilayah kota dan kabupaten?
seperti di malang, kediri dan daerah lain sdh terbagi.
agar bisa berkompetisi memajukan ke indahan sidoarjo.
msh banyak yg harus diperbaiki utk warga sda,
contoh:
1.ttg sampah.
2.air bersih(pdam.)
3.pelayanan/birokrasi.
4.sekolah negri (sd,smp,sma,smk) yg blm merata di seluruh wilayah pinggiran sda.
5.draynase, parit, gorong² juga blm maksimal, mgkn beranggapan resapan msh banyak.
6.blm lagi ttg imb, tata ruang msh focus pd perumahan.
itulah sekedar masukan, demi keindahan sda secara menyeluruh.",sampah
tolong lampu pju di jl. malik ibrahim desa kwangsan ada 3 titik sudah lama mati belum ada perbaikan. ini dari tadi telp ga bisa bisa.,others
"melaporkan !!
pju di jl.jeruk(pertigaan) menuju balai desa wage.
telah padam-nyala, saat padam sering terjadi laka antara sepeda ontel vs motor/mobil.
mohon perhatian.
ttd: warga.",others
"pelayanan personil dlh sangat membantu, mulai dari penerimaan surat oleh pak budi dan mb meita.. hingga diskusi dengan pak amig kepala dinas dan pak anas kepala bidang.. thank you, all the best for dlh sidoarjo 🙏 …",layanan
"maju dan jayalah kab. sidoarjo dalam menata kotanya menjadi lebih indah dan cantik lagi, terlebih dari segi lingkungan hidup dan kebersihan yang harus terus ditingkatkan.",others
"kepada bapak dan ibu dinas kebersihan kab sidoarjo,,tolong kami dikasih solusi tempat pembuangan sampah diaerah kami,khususnya desa sidodadi,bringin bendo dan sekitarnya,,,kami sangat kesulitan membuang sampah,,,selama ini kami sebagian nitip buang di tps citra harmoni itupun secara sembunyi2..sebagian dibakar sendiri2..
tp sekarang buang sampah di tps citra harmoni benar2 dilarang... klo dibakar kan ada sampah yg gak bisa dibakar...
tolong dikasih solusi,,jangan sampai disungai2 penuhi dg sampah...",sampah
"pelaporan atau keluhan semua jawaban hanya silahkan datang ke kantor silahkan datang ke kantor,terus guna telfon apa dimasa digital ini ?
saya rasa percuma kalau hanya untuk hal demikian tidak bisa di follow up.",others
"kantor susah di telpon atau nada sibuk terus, mohon ada lampu mati 2 titik dan timer panel mati sehingga on off dengan manual , kemarin 16 januari 2020 ada warga yang terkena aliran listrik saat mau menghidupkan panel. lokasi desa candoinegoro kecamatan wonoayu dusun negorodermo rt 1 rw 1 mohon segera ditindak lanjuti.",others
"cepat tanggap dan responsif,
terima kasih saya sampaikan kepada dlhk sidoarjo atas respon cepat laporan pju didesa kami, yaitu di jl. gatot subroto rt. 11 rw 04. medaeng.
semangat dan lanjutkan ....",others
"tolong di pantau dan di kondisikan bos, pju kampung kelurahan medaeng  banyak yang mati.
terimah kasih",others
"dalam mewujudkan mimpi surabaya bersih dan asri, dinas kebersihan dan ruang terbuka hijau adalah rahasia dibalik semua ini. tentunya dibantu dengan semangat warga surabaya yang ingin kotanya  menjadi bersih dan asri.
dinas kebersihan dan ruang terbuka hijau melayani terkait kebersihan dan pertamanan kota, tak hanya itu untuk urusan pemakaman pun juga dihandle dengan baik.
silahkan datang pada jam kerja.",others
"dinas kebersihan dan ruang terbuka hijau nama baru dari dinas kebersihan dan pertamanan. suasana bersih ada taman hijau, banyak kompaktor (truck sampah), ada kendaraan pju (penerangan jalan umum), suasana lobi enak nyaman",sampah
"di jl. raya manyar 95 ada pohon beringin yg batangnya sdh menjorok ke halaman rumah saya sehingga daun2nya rontok tiap hari dan jadi kotor.
mohon bisa dipangkas karena sdh banyak juga kabel2 telpon/pln  yg melintang. sdh telpon ke dinas tapi belum dapat respon. trmksh.",hutan
tolong dibperhatikan lagi jam2 utk semua pegawai kebersihan di jalan. sudah hampir 1 minggu inui jalan pandegiling depan pecel bu djoyo selalu macet gara2 petugas yg ambil sampah! its oke dia ngerjain tugasnya. tapi ya tolong dong di perhatikan itu tempat gaada mobil petugas sampah aja udah macet! apalagi ini jam dan hari kerja. masa ya ga mikir yg kerja emang pegawai kebersihan aja?!,sampah
mau ty ttg retribusi air yg dibebankan pemkot aja mesti dtg ke kantor utk minta penjelasan. lagian masa kantor py pemkot ga ada ext yg bs nyambung ke dlm?!?! warga suruh byr 19000/bln bertahun² tanpa ada alasan yg jelas,polusi
"daerah kebraon banyak pohon di pangkas, sangat bagus biar tidak roboh tertiup angin kencang, terimakasih buat dinas kebersihan semuanya,,
ini ada satu pohon besar di dalam kebraon indah permai blok i no.29
bisa tolong bantu di potong semua, takut roboh musim hujan angin..
terimakasih sebelumnya
tuhan berkati selalu",hutan
"kami melaporkan adanya pemadaman pju di jalan raya dukuh bulak banteng, hingga saat ini tidak ada tindak lanjut dari instansi terkait , padahal daerah tersebut rawan kecelakaan,",fasilitas umum
"selamat siang tim dinas pertamanan surabaya
minta tolong ini ada lampu di jalan kapas lor gang 2 mati, sudah di telpon pertama jawabannya akan ditindaklanjuti tapi tidak ada perbaikan sudah 4 bulan, telpon berikutnya tidak ada yang angkat, tolong segera ditindaklanjuti dan diperbaiki fasilitas umum ini agar bisa menerangi dan membantu banyak orang, tolong services nya yg memuaskan.
terima kasih",fasilitas umum
"no tlp susah dihubungi, sdh laporan ke kantor jg blm dikonfirmasi, masalah retribusi sampah ditagihan pdam yg bukan kelas jlnnya.",sampah
"beberapa kali mengajukan ijin untuk berkegiatan di taman flora, diminta datang 2 hari lagi. di hari yg ditentukan kami datang, tapi tidak ada hasil, tidak ada surat ijin/surat disposisi yang keluar. diminta datang lagi 2 hari berikutnya. masih saja belum di acc banyak sekali alasan. ternyata endingnya, disuruh datang saja langsung ke penjaga taman (satpol pp?). penjaga taman minta surat dari dinas...
semacam mbulet..
hadeeuuhhh... 😓😓😓",layanan
"sopir mobil tanker air dinas pertamanan arogan saat mengemudi di jalanan merr depan jembatan balle hinggil apartmen, hampir menyerempet pengendara motor pagi jam 7.30 tgl 18-5-2020, plat l9321nq stiker tertulis dinas pertamanan, mohon pihak terkait dapat mengingatkan sopir tersebut, matur suwun",polusi
"kantornya bagus
selamat pagi, saya bpk. ferdy warga surabaya, domisili di jl. pagesangan asri iv rt.06 rw.03. kel. pagesangab, jambangan surabaya. 60233. saya mohon bantuan untuk penerangan jalan umum (pju) yang berada di jalan utama pagesangan asri sampai saat ini masih padam, sudah sejak 5 hari yang lalu, melihat kondisi khususnya pada malam hari sangat gelap,. saya mohon bantuan dari dkrth untuk dapatnya ada pembenahan pju di pagesangan asri. demikian ump.
berguna?",fasilitas umum
"dkrth habis potong pohon,sampah gk di ambil 2 bulan sampai daun keringny kmn².coba warga yg gtu pasti di denda.wilayah darmo harapan",sampah
"telpon kantor dkrth tdk pernah ada yg angkat.  tapi alhamdulillah, tadi pagi 28/02/2020 ada truk dkrth yg ngangkut sampah pohon di tanjung sadari.
prosedurnya, harus lapor lewat kelurahan . (diketahui rt & rw setempat). keluraha yg akan menghubungi dkrth, kmdn baru diagendakan pengangkutan sampah",sampah
"saya mau laporan kepada bapak kepala terhormat
bahwa saya hari sabtu tgl 7 agustus pagi di jalan kyai tambak deres dekat pom bensin kedung cowek.saya tertimpa pohon yg mengakibatkan spion patah,kepala dan tangan kiri saya sakit.karena pekerjaan nya tidak hati"" dan tidak memasang tanda  atau karna kelalaian,sehingga mengenai saya.dan setelah saya sudah tertimpa barulah dipasang.dan tidak ada etika baik sama sekali sama saya,mala marah"".tolong ditindak lanjutkan dengan benar pak.saya disini merasa di rugikan.terima kasih.",hutan
mau tanya kalau saya potong dahan pohon di rumah saya... untuk buang dahan dan daun yang telah dipotong harus kemana ya ? karena bila dibuang di tempat sampah tidak diperbolehkan oleh pengelola di lingkungan rw kami... mohon infonya ya !?,sampah
mau tanya untuk biaya penebangan itu ditanggung sendiri apa dari dkp yang akan menebang pohonnya yah??? untuk pengajuan penebangan pohonnya??,hutan
pelayanan buruk. datang ga bisa langsung dilayani. harus janjian dulu dengan nomer telepon yang ada di cs. tapi nomer telpon ga bisa dihubungi. payah,layanan
terima kasih bu kadis...dan team dkrth. surat kami lagsung ditanggapi..sy beserta warga rw.08 permata safira regency surabaya mengucapkan terima kasih atas bantuannya....👍🤝🙏🙏 …,layanan
bagaimana untuk mengajukan pengurasan septitank di sekolah? diajukannya di dkrth atau dinas lingkungan hidup? terimakasih,others
no telpon tidak pernah diangkat.  mau mengadukan akar pohon yg merusak properti masa saya harus jauh jauh ke menur.,hutan
"mohon infonya bos...
ini bunga apa ya..dan dimana beli bibitnya di wilayah surabaya..
makasih sebelumnya bosss",others
tempat kami bermasyarat di keputran panjunan 3/30 rt 04 rw13 kel embong kaliasin kec genteng surabaya,others
"saya warga pantura kec. sukasari, kel. mandalawangi yang saya amati dilingkungan sekitar tidak ada tps sehingga warga sangat kesulitan sat ingin buang sampah, dan sungai ciasem kalau air mengalir banyak sekali sampah yang hanyut terbawa sampai ke laut, mohon untuk ditindak lanjuti untuk menjaga ekosistem",sampah
"kantor pemerintah dinas lingkungan hidup kabupaten subang, lumayan luas kantornya, parkirnya juga luas",others
pa tolong ditindak lanjuti supir dan keneknya. kalo ngangkut sampah jangan pilih2 dan jadwalnya yg tertib. jangan seenaknya. kami warga perumahan nuansa kalijati regency sering merasa kurang nyaman dengan sampah yg menumpuk karena pihak yg mengangkut tidak datang sesuai jadwal yg seharusnya seminggu 2x malah seminggu sekali. bahkan pernah sudah 2 minggu baru datang lagi.,sampah
"saya mau bertanya,,apa benar petugas tpa jalupang subang cipendeuy tidak mendapatkan upah,,dan kalau berapa upah nya?
tolong di jawab",sampah
"assalamu'alaikum pak/ibu, mohon tpa pujasrra di perhatikan, soalnya udh 3 minggu sampah pujasera penuh terus pak/ibu, kami sebagai pedagang jadi terhambat karna sampah penuh terus, sedangkan kami di pujasera toko itu sewa bapak/ibu,mohon maaf ibu/bapak untuk perhatianya.",sampah
desa wanakerta kecamatan purwadadi udaranya bau eek sapi yang terbawa dari kaliangsana kalijati🥲 …,limbah
"sampah di tps gak di angkut, dibiarin gitu aja...
masa dinas gak punya anggaran buat beli truk kontainer...
apa memang punya truk kontainer tapi cuman buat pajangan di kantor dinas aja....
belum lagi harus nya malu kena sorot terus sama media pejabat disana...",sampah
truk sampahnya gak mau ambil sampah. udah di bilang udah mau di bayar. tetep omong doang gak dateng2. sampah kota dimana2. warganya harus buang sampah ke tpa sendiri. harus sewa angkot kalau mau buang sampah bukan sewa truk sampah. gak jelas.,sampah
"untuk limbah aqua gelas,gelas monti, tutup galon kami siap tampung untuk di di daur ulang untuk kerjasamanya wa 087817993384",limbah
"situasi dan kondisi lingkungan kantor cukup bersih, dan dilengkapi petunjuk dengan gambar dan tulisan mengenai pekerjaan yg ada pada dinas lh",others
"bu/pak tolong, di sekitar desa kami, kebun kelapa sudah mencemari udara karena ada masyarakat yang mau membakar sampah di lingkungan rumahnya, dan ada belatungnya, maaf kurang nyaman bau terbakar, banyak orang yang mengeluh sesak napas dan kambuh lagi, berkali-kali saya coba suruh bakar tapi tidak seburuk dulu.",sampah
lampu pju di dusun ngambar rt 12 rw 04 desa bambe driyorejo mohon untuk segera di perbaiki. sudah 1 bulan lebih padam. tidak ada tindak lanjut. rawan kecelakaan kalau malam. karena gelap sekali.,others
"assalamualaikum, saya dyas dari wates balongpanggang. kepada bapak yang berwewenang di dinas lingkungan hidup saya mohon untuk pemangkasan pohon yang ada di jl. raya wates balongpanggang karena setiap hari hujan disertai angin. terimakasih atas perhatiannya. wassalamualaikum wr.wb.",hutan
"saya saat ini sedang menginap di daerah padi & menyadari bahwa belum ada pengelolaan sampah terpadu di daerah sini. warga mengelola sampahnya dengan cara membakar atau membuang sampah mereka ke sungai. padahal dua hal tersebut sangat berbahaya bagi lingkungan. mohon dlh pacitan bergerak untuk mengatasi hal ini, perencanaan pengelolaan sampah terpadu di seluruh daerah pacitan dan juga edukasi ke warga mengenai bahaya membakar & membuang sampah sembarangan.",sampah
"kantor yang bagus dan bersih, pelayanan yang baik dan ramah, untuk petugas yang menyapu di jalan mereka selalu ada dari pagi hingga malam, sangat bagus untuk membantu menjaga kebersihan kota.",fasilitas umum
"kantor dinas lingkungan hidup pemda lumajang,  menangani urusan lingkungan hidup,  tata ruang dan perijinan",others
kantornya oke... smg dpt membawa lumajang semakin asri dan terlindungi lingkungannya,others
"pelayanan sangat bagus, petugas sangat ramah dan sopan, ,
kondisi kantor juga sangat bersih . .",layanan
fasilitas taman serta pemandangan di belakang kurang efektif. terlihat tidak dikelola dengan maximal. sebaiknya dikelola untuk menjadi tmbahan destinasi wisata jombang yg lebih menarik. fungsikan lahan sebaik mungkin.,others
"kepada dinas pu, anda yang bertanggungjawab atas kebersihan dan tataruang, dengan berkoordinasi dengan dinas kesehatan dan lembaga terkait. saya sebagai warga meminta agar melakukan tindakan yang menyeluruh..misal dengan menyediakan penampungan sampah di setiap desa, minimal 2-3 tempat agar masyarakat tidak membuang ataupun membakar sampah..karna itu tidak baik bagi lingkungan..
kita warga yang suka kebersihan tetapi tidak difasilitasi, akan sangat percuma..dan apabila butuh ide atau gagasan mari duduk bersama..saya yakin anda orang orang pintar dan hebat di dinas dan bekerja demi kepentingan masyarakat sesuai instansi anda.
kami masyarakat mendukung demi kebaikan dan kesehatan bersama..sungai bersih lingkungan sehat..
kebersihan sebagaian daripada iman.
jombang beriman????",sampah
wadah aspirasi & sgl mcm yg bersangkutan dg lingk. hiduo bg masyarakat jombang demi terciptax-terpeliharax jombang yg bersih-indah-aman-nyaman,others
ini pohon di sekitar rm nirwana... dahan & ranting sampai menjalar ke garis tengah jalan raya... ½ badan jalan!,hutan
pengerjaan dlh memotong pepohonan jumat 24 november di jalan prof. gondo wardoyo kurang rapi jalur listrik sampe putus. apakah tidak ada koordinasi dengan pln dahulu supaya jangan sampai memutus kabel yg berakibat 2 usaha gelap gulita.,hutan
"dinas lingkungan hidup kabupaten nganjuk jawa timur.
berada dijalan provinsi nganjuk madiun menjadikan kantor dinas lingkungan hidup ini mudah diakses oleh semua orang.
suasana yang asri dan teduh dengan banyak pepohonan yang rindang dan terawat.
semoga dengan tempat yang nyaman dan segar bisa meningkatkan kinerja pegawai dikantor ini.",hutan
"minta tolong kepada yang terkait, jika memang ada pelayanan disini untuk perihal pengurusan ijin, tolong jika kiranya memang ada orang awam ngga tau apa apa mohon langsung ditanya mau apa, ngga malah diam dan ndak ada respon",layanan
"saya sebagai penyambung lidah masyarakat mengharapkan agar pihak pemerintah mendiskusikan lebih mendalam, sudah bagus program nya, hanya saja belum matang, kami mengharapkan agar lebih di matang in lagi, jangan sudah memotong tidak di bersihkan, ranting dan dedaunnya, kasihan masyarakat pemilik rumah yg sudah lansia tdk mampu untuk mengerjakannya",others
"tolong untuk dkp menindak tukang sapu/penjaga taman sekartaji, saya tidak terima diusir dari taman,saya merasa dituduh tidak benar,soal pacaran,di taman,padahal saya tidak ngapa2 in ditaman,dn itu masi sopan tapi ada tukang sapu yang dengan sengaja mengusir saya dan menuduh saya",layanan
tlong diperbaiki...lampu penerangan di perempatan jl. singonegaran tgh mati sudah lama...,others
"jempol 👍
waktu itu mau ngadain kegiatan dan mengharuskan utk izin ke dlh. karena blm punya kontaknya maka saya kirim email. kemudian diminta dm saja biar fast respon.
akhirnya saya dm dan konfirmasi utk kegiatan. yang bikin saya salut, meskipun perizinan saya tidak resmi (pakai surat) karena sangat dadakan, alhasil saya izin melalui dm tersebut, tapi tetap direspon positif oleh pihak dlh dan tetap disupport utk kegiatannya.
terimakasih dlh🙏🙏🙏",layanan
"orang2nya ramah dan welcome, adzan berkumandang, semua staff termasuk pimpinan langsung bergegas sholat jamaah di mushollah..
bagi yang berkepentingan dengan dinas ini tidak usah khawatir langsung masuk ke ruangan nanti akan disambut dengan hangat oleh yang bertugas",others
"saya mengajukan permohonan pemangkasan pohon di depan outlet xiboba ponorogo, langsung direspon oleh tim walaupun pengajuan lewat dm ig. salut dengan respon dari dlh ponorogo",hutan
"mudah untuk mendapatkan informasi, baik lewat media maupun langsung datang ke kantor, petugas pelayanancpelayanan cekatan, pelayanannya ramah dan cepat. semoga kedepannya semakin di tingkatkan untuk segi pelayanannya.",layanan
pengelola instagram dlh responsif sekali ketika saya bertanya beberapa hal. semoga hadir lebih banyak program-program yang dekat dengan masyarakat. terima kasih,others
"dinas lingkungan hidup kota blitar di resmikan pada tanggal 17 februari 2017 oleh bpk. walikota blitar. awalnya kantor dinas lingkungan hidup berpindah - pindah namun sekarang sudah menetap di jl. pemuda soempomo no.75 kota blitar.
lahannya sangat luas dan memiliki area parkir sangat luas juga dibagian belakang kantor. di sini ruang sekretaris dan kepala berada di bagian depan dekat dengan lobi dan di depan juga tersedia 1 ruang toilet yang terdiri dari 3 kamar mandi dan di bagian belakang kantor dekat area parkir juga terdapat 1 toilet.
untuk ruang pertemuan berada di lantai 2. ketika setelah naik ke lantai 2 sebelah kanan anak tangga adalah ruangan bidang penataan dan penge dalian lingkungan sedangkan sebelah kiri anak tangga ruang pertemuan.",others
"taman sebelah pusat kuliner apa naungan dlh kota blitar ,ijin usul bila ada tempat sampah yg memungkinkan ada 3 di sisi utara tengah dan selatan posisi di taman ,akan tidak buang sembarang an bila ada yg duduk² di taman pusat kuliner...,sy yg setiap hari duduk di taman pusat kuliner timur tdk budi rahayu..mohon di beri tempat sampah",sampah
"lokasi berada di pinggiran kota,  namun mudah dijangkau dan lebih representatif. parkir kendaraan aman,  nyaman dan udara lebih sejuk",polusi
"di sekitar kantor balai lingkungan hidup, masi banyak kegiatan warga membakar sampah sembarangan. padahal ada undang2nya. apakah untuk pengaduan bisa kesini? bisakah warga terkait mendapat penyuluhan lingkungan hidup?
saya tinggal di belakang mebel c1, warga setempat mayoritas mengolah sampah dgn cara dibakar. asapnya sangat mengganggu, 24 jam tdk dpt menghirup udara sehat",sampah
belum pernah ke sini langsung sich..... anak yg pernah pas outdoor activity learning bersama teman2x😅 …,others
"dinas lungkungan hidup kota pontianak saya kunjungi bersama beberapa teman yang tergabung dalam sebuah kelompok ketika melaksanakan benchmarking ke best practice di kota pontianak pada minggu ke iv bulan juli 2018 yang lalu. pejabat dan staf dalam dlh sangat ramah, kooperatif dan tampak berintegritas. kinerja nya pun terukur. saya sempat berkunjung ke bank sampah mereka, pun dipertemukan dengan kreator operator transportasi sampah",sampah
"ada pembalakan hutan di daerah sedau, mau masuk pantai batu burung singkawang,
apakah itu ada ijin dari pemerintah setempat dan apakah pemakaiannya sesuai ijin.?
foto bisa dilihat dari batu barung.",hutan
"saya mendukung kata awal lingkungan hidup😊 yg artinya kata kehutanan nya berarti menjaga kelestarian hutan 😊
tapi kantor nya biasa aja, layak nya unit unit yg laen
saran saya, ciptakan maket di lingkungan kantor sebagai ciri khas kata lingkungan hidup
tata penampilan kantor dg asri , hijau dan hidup
sukses utk pemda kalbar, terus lah membangun negri ini dg tetap menjaga lingkungan hidup dan kehidupan jangka panjang, kedepan dan mendunia😊",hutan
"kantor dinas kehutanan provinsi kalimantan barat dengan letak yang sangat strategis sehingga mudah terlihat dan juga mudah di temui apa bila hendak berkunjung ke kantor ini,  namun jalan untuk masuk kekantor agak sedikit susah, karna berdekatan dengan lampu merah..
dinas kehutanan provinsi kalimantan barat ini juga mempunyai gedung yg di sebut gedung rimbawan yg biasa di sewa untuk acara acara seperti acara penikahan dan lain lain,  namun area parkirnya yg kurang memadai sehingga akan sangat sulit keluar masuk area apa bila banyak area parkiran di penuhi kendaraan roda empat
disini juga merupakan dojang taekwondo,  yang melatih cikal bakal atlet taekwondo..  dengan jadwal latihanny minggu pagi , senin malam dan rabu malam",hutan
"@thks pak kadis, yg baik dan ramah, sdh mengajak kami berkunjung k kntr.salam kompak sll.",others
saya mau mencari info teman orang tua saya yg menjadi kakanwil kehutanan prov kalbar sekitar tahun 1973-1979 bapak ir.isman dayat mungkin ada yg tau sekarang dimana. . makasih,hutan
"aula dinas kehutanan kalbar, tempat resepsi nikah, gedungnya kurang gede utk acara nikahan",hutan
"di sedau tempat pariwisata batu burung,, lokasi pas di batu burung,,
pandangan menghadap ke arah gunung, atau ke arah timur,,
sebagian pohon digunung telah ditebang, dan sangat kelihatan jelas dari pantai.
apakah dinas lingkungan hidup mengetahuinya.?
tolong diproses dong, supaya tidak terjadi tanah longsor.
itu kan tugas kalian.. jangan tutup mata dan hati nurani kalian.",hutan
