complaint,category,cleaned_complaint,no_stopwords,stemmed_complaint,numbered_category
mau minta jemput jungwoo juga percuma bgt tetep macet yeee,fasilitas umum,mau minta jemput jungwoo juga percuma bgt tetep macet yeee,"['jemput', 'jungwoo', 'bgt', 'tetep', 'macet', 'yeee']",jemput jungwoo bgt tetep macet yeee,1
baru tadi sore kejebak macet di stasiun serpong wkwkwk seperti biasa lane sebrang kita penuh sama yg lawan arah tambah macettt,fasilitas umum,baru tadi sore kejebak macet di stasiun serpong wkwkwk seperti biasa lane sebrang kita penuh sama yg lawan arah tambah macettt,"['sore', 'kejebak', 'macet', 'stasiun', 'serpong', 'wkwkwk', 'lane', 'sebrang', 'penuh', 'yg', 'lawan', 'arah', 'macettt']",sore jebak macet stasiun serpong wkwkwk lane sebrang penuh yg lawan arah macettt,1
pemda serpong kyknya gk peduli jalanan makin macet ato gk,fasilitas umum,pemda serpong kyknya gk peduli jalanan makin macet ato gk,"['pemda', 'serpong', 'kyknya', 'gk', 'peduli', 'jalanan', 'macet', 'ato', 'gk']",pemda serpong kyknya gk peduli jalan macet ato gk,1
punchline bad day disponsori oleh macet e lontar sg gak karu karuan thx thx thx,fasilitas umum,punchline bad day disponsori oleh macet e lontar sg gak karu karuan thx thx thx,"['punchline', 'bad', 'day', 'disponsori', 'macet', 'e', 'lontar', 'sg', 'gak', 'karu', 'karuan', 'thx', 'thx', 'thx']",punchline bad day sponsor macet e lontar sg gak karu karuan thx thx thx,1
giat gatur pagi atisipasi macet piket patroli polsek cibarusah aiptu bowo dan bripka widi melaksanakan gatur lalu lintas pagi hari antisipasi kemacetan bus karyawan situasi lalin ramai lancar dari cibarusah maupun arah cikarang di jalan raya pertigaan pasar cibarusah,fasilitas umum,giat gatur pagi atisipasi macet piket patroli polsek cibarusah aiptu bowo dan bripka widi melaksanakan gatur lalu lintas pagi hari antisipasi kemacetan bus karyawan situasi lalin ramai lancar dari cibarusah maupun arah cikarang di jalan raya pertigaan pasar cibarusah,"['giat', 'gatur', 'pagi', 'atisipasi', 'macet', 'piket', 'patroli', 'polsek', 'cibarusah', 'aiptu', 'bowo', 'bripka', 'widi', 'melaksanakan', 'gatur', 'lintas', 'pagi', 'antisipasi', 'kemacetan', 'bus', 'karyawan', 'situasi', 'lalin', 'ramai', 'lancar', 'cibarusah', 'arah', 'cikarang', 'jalan', 'raya', 'pertigaan', 'pasar', 'cibarusah']",giat gatur pagi atisipasi macet piket patroli polsek cibarusah aiptu bowo bripka widi laksana gatur lintas pagi antisipasi macet bus karyawan situasi lalin ramai lancar cibarusah arah cikarang jalan raya tiga pasar cibarusah,1
eh alamak aku pikir ini akun aa itu dibandung jg macet dd banyak perbaikkan jalan,fasilitas umum,eh alamak aku pikir ini akun aa itu dibandung jg macet dd banyak perbaikkan jalan,"['eh', 'alamak', 'pikir', 'akun', 'aa', 'dibandung', 'jg', 'macet', 'dd', 'perbaikkan', 'jalan']",eh alamak pikir akun aa bandung jg macet dd baik jalan,1
mau motoran healing atau sunmori cuma kena macet jadi tambah stres mending di rumah aja,fasilitas umum,mau motoran healing atau sunmori cuma kena macet jadi tambah stres mending di rumah aja,"['motoran', 'healing', 'sunmori', 'kena', 'macet', 'stres', 'mending', 'rumah', 'aja']",motor healing sunmori kena macet stres mending rumah aja,1
itu jalan macet nah bmw gk sabaran ngambil jalan sebelah yg lawan arah sampe sini ngerti,fasilitas umum,itu jalan macet nah bmw gk sabaran ngambil jalan sebelah yg lawan arah sampe sini ngerti,"['jalan', 'macet', 'bmw', 'gk', 'sabaran', 'ngambil', 'jalan', 'sebelah', 'yg', 'lawan', 'arah', 'sampe', 'ngerti']",jalan macet bmw gk sabar ngambil jalan belah yg lawan arah sampe ngerti,1
emang paling bener pulang jalan kaki aja ga ikut macet an meskipun pas jalan takut ketabrak sama motor yg lewat di trotoar,fasilitas umum,emang paling bener pulang jalan kaki aja ga ikut macet an meskipun pas jalan takut ketabrak sama motor yg lewat di trotoar,"['emang', 'bener', 'pulang', 'jalan', 'kaki', 'aja', 'ga', 'macet', 'an', 'pas', 'jalan', 'takut', 'ketabrak', 'motor', 'yg', 'trotoar']",emang bener pulang jalan kaki aja ga macet an pas jalan takut tabrak motor yg trotoar,1
game offline soal kadang sinyal di indonesia kadang macet,fasilitas umum,game offline soal kadang sinyal di indonesia kadang macet,"['game', 'offline', 'kadang', 'sinyal', 'indonesia', 'kadang', 'macet']",game offline kadang sinyal indonesia kadang macet,1
aku pake so far masih aman sih saran aku kalau mau pake buahnya dipotong kecil kecil dulu biar gak macet sama jangan lupa kasih air yang cukupp,fasilitas umum,aku pake so far masih aman sih saran aku kalau mau pake buahnya dipotong kecil kecil dulu biar gak macet sama jangan lupa kasih air yang cukupp,"['pake', 'so', 'far', 'aman', 'sih', 'saran', 'pake', 'buahnya', 'dipotong', 'biar', 'gak', 'macet', 'lupa', 'kasih', 'air', 'cukupp']",pake so far aman sih saran pake buah potong biar gak macet lupa kasih air cukupp,1
macet di underpass angkasa kemayoran akibat aksi pencurian kabel pompa air,fasilitas umum,macet di underpass angkasa kemayoran akibat aksi pencurian kabel pompa air,"['macet', 'underpass', 'angkasa', 'kemayoran', 'akibat', 'aksi', 'pencurian', 'kabel', 'pompa', 'air']",macet underpass angkasa mayor akibat aksi curi kabel pompa air,1
bocah tolol bocah tolol bocah tolol ora mikir udah panas juga macet eh ketambahan dandanin jalan,fasilitas umum,bocah tolol bocah tolol bocah tolol ora mikir udah panas juga macet eh ketambahan dandanin jalan,"['bocah', 'tolol', 'bocah', 'tolol', 'bocah', 'tolol', 'ora', 'mikir', 'udah', 'panas', 'macet', 'eh', 'ketambahan', 'dandanin', 'jalan']",bocah tolol bocah tolol bocah tolol ora mikir udah panas macet eh tambah dandanin jalan,1
nek pas kepetok model ko ngene ki pengen misoh misoh pas kapan kae ning prapatan ketandan posisi akhir pekan bar udan seko wetan tat tot tat tot griseni malah marai macet nek sing dikawal honda beat po supra kemlotak we isih rodo meso la sing dikawal bis gede gede lol,fasilitas umum,nek pas kepetok model ko ngene ki pengen misoh misoh pas kapan kae ning prapatan ketandan posisi akhir pekan bar udan seko wetan tat tot tat tot griseni malah marai macet nek sing dikawal honda beat po supra kemlotak we isih rodo meso la sing dikawal bis gede gede lol,"['nek', 'pas', 'kepetok', 'model', 'ko', 'ngene', 'ki', 'pengen', 'misoh', 'misoh', 'pas', 'kae', 'ning', 'prapatan', 'ketandan', 'posisi', 'pekan', 'bar', 'udan', 'seko', 'wetan', 'tat', 'tot', 'tat', 'tot', 'griseni', 'marai', 'macet', 'nek', 'sing', 'dikawal', 'honda', 'beat', 'po', 'supra', 'kemlotak', 'we', 'isih', 'rodo', 'meso', 'la', 'sing', 'dikawal', 'bis', 'gede', 'gede', 'lol']",nek pas tok model ko ngene ki ken misoh misoh pas kae ning prapatan tandan posisi pekan bar udan seko wetan tat tot tat tot griseni mara macet nek sing kawal honda beat po supra kemlotak we isih rodo meso la sing kawal bis gede gede lol,1
kalo tol macet tolong ya jasamarga pintu masuk tolnya ditutupini dibiarkan masuk akhirnya macet tambah panjang,fasilitas umum,kalo tol macet tolong ya jasamarga pintu masuk tolnya ditutupini dibiarkan masuk akhirnya macet tambah panjang,"['kalo', 'tol', 'macet', 'tolong', 'ya', 'jasamarga', 'pintu', 'masuk', 'tolnya', 'ditutupini', 'dibiarkan', 'masuk', 'macet']",kalo tol macet tolong ya jasamarga pintu masuk tol ditutupini biar masuk macet,1
kalau gak datangdatang coba dijemput aja bang kali aja macet,fasilitas umum,kalau gak datangdatang coba dijemput aja bang kali aja macet,"['gak', 'datangdatang', 'coba', 'dijemput', 'aja', 'bang', 'kali', 'aja', 'macet']",gak datangdatang coba jemput aja bang kali aja macet,1
mepet mending sekarang belum lagi macet di jalannya,fasilitas umum,mepet mending sekarang belum lagi macet di jalannya,"['mepet', 'mending', 'macet', 'jalannya']",mepet mending macet jalan,1
pejabat di silih berganti namun macet dan bsnjir tetap terjadi gerogoti apbd,fasilitas umum,pejabat di silih berganti namun macet dan bsnjir tetap terjadi gerogoti apbd,"['pejabat', 'silih', 'berganti', 'macet', 'bsnjir', 'gerogoti', 'apbd']",jabat silih ganti macet bsnjir gerogot apbd,1
nah ini bagi aku kayak senjata terkahir buat masyarakat ketika udah ngikutin birokrasi tapi g ada respon macet di tengah jalandipersulit langsung aja lapor ke yg paling tinggi,fasilitas umum,nah ini bagi aku kayak senjata terkahir buat masyarakat ketika udah ngikutin birokrasi tapi g ada respon macet di tengah jalandipersulit langsung aja lapor ke yg paling tinggi,"['kayak', 'senjata', 'terkahir', 'masyarakat', 'udah', 'ngikutin', 'birokrasi', 'g', 'respon', 'macet', 'jalandipersulit', 'langsung', 'aja', 'lapor', 'yg']",kayak senjata terkahir masyarakat udah ngikutin birokrasi g respon macet jalandipersulit langsung aja lapor yg,1
iyaaajan breee sebutan aparat kmliteran dengan aparat kepolisian itu kan masi satu tanggung pemerintahcerita nya kopral ni klusr rumah dgn maksud pergi kepasar dia membeli sesuatu di toko tsb cuma dia terburu buru macet dia keluar rumah pun tampa make hlm,fasilitas umum,iyaaajan breee sebutan aparat kmliteran dengan aparat kepolisian itu kan masi satu tanggung pemerintahcerita nya kopral ni klusr rumah dgn maksud pergi kepasar dia membeli sesuatu di toko tsb cuma dia terburu buru macet dia keluar rumah pun tampa make hlm,"['iyaaajan', 'breee', 'sebutan', 'aparat', 'kmliteran', 'aparat', 'kepolisian', 'masi', 'tanggung', 'pemerintahcerita', 'nya', 'kopral', 'ni', 'klusr', 'rumah', 'dgn', 'maksud', 'pergi', 'kepasar', 'membeli', 'toko', 'tsb', 'terburu', 'buru', 'macet', 'rumah', 'tampa', 'make', 'hlm']",iyaaajan breee sebut aparat kmliteran aparat polisi mas tanggung pemerintahcerita nya kopral ni klusr rumah dgn maksud pergi pasar beli toko tsb buru buru macet rumah tampa make hlm,1
pemerintah hapuskan utang umkm yang macet ini syarat dan ketentuan berlaku tempobisnis,fasilitas umum,pemerintah hapuskan utang umkm yang macet ini syarat dan ketentuan berlaku tempobisnis,"['pemerintah', 'hapuskan', 'utang', 'umkm', 'macet', 'syarat', 'ketentuan', 'berlaku', 'tempobisnis']",perintah hapus utang umkm macet syarat tentu laku tempobisnis,1
bete bgttttt banjir biasa aja udh macet gak dapet gojek kalo abis dari lrt ini nambah lg mall,fasilitas umum,bete bgttttt banjir biasa aja udh macet gak dapet gojek kalo abis dari lrt ini nambah lg mall,"['bete', 'bgttttt', 'banjir', 'aja', 'udh', 'macet', 'gak', 'dapet', 'gojek', 'kalo', 'abis', 'lrt', 'nambah', 'lg', 'mall']",bete bgttttt banjir aja udh macet gak dapet gojek kalo abis lrt nambah lg mall,1
tp gua udh terbiasa sih ama macet tar lu frustasi lagi,fasilitas umum,tp gua udh terbiasa sih ama macet tar lu frustasi lagi,"['tp', 'gua', 'udh', 'terbiasa', 'sih', 'ama', 'macet', 'tar', 'lu', 'frustasi']",tp gua udh biasa sih ama macet tar lu frustasi,1
ayoe sini pindahhh jangan dehhh macet aminnnn mksh ye,fasilitas umum,ayoe sini pindahhh jangan dehhh macet aminnnn mksh ye,"['ayoe', 'pindahhh', 'dehhh', 'macet', 'aminnnn', 'mksh', 'ye']",ayoe pindahhh dehhh macet aminnnn mksh ye,1
giat strong point di tempat yang rawan macet dan laka lantas,fasilitas umum,giat strong point di tempat yang rawan macet dan laka lantas,"['giat', 'strong', 'point', 'rawan', 'macet', 'laka', 'lantas']",giat strong point rawan macet laka lantas,1
amin semoga segera biar jalan semakin lancar dan gak macet,fasilitas umum,amin semoga segera biar jalan semakin lancar dan gak macet,"['amin', 'semoga', 'biar', 'jalan', 'lancar', 'gak', 'macet']",amin moga biar jalan lancar gak macet,1
itu mall atu aja kalo macet ampun an nambah lg aja,fasilitas umum,itu mall atu aja kalo macet ampun an nambah lg aja,"['mall', 'atu', 'aja', 'kalo', 'macet', 'ampun', 'an', 'nambah', 'lg', 'aja']",mall atu aja kalo macet ampun an nambah lg aja,1
sobatbijak selain menghemat waktu karena tidak perlu terjebak macet ternyata masih banyak manfaat lain dari menggunakan transportasi umum lho,fasilitas umum,sobatbijak selain menghemat waktu karena tidak perlu terjebak macet ternyata masih banyak manfaat lain dari menggunakan transportasi umum lho,"['sobatbijak', 'menghemat', 'terjebak', 'macet', 'manfaat', 'transportasi', 'lho']",sobatbijak hemat jebak macet manfaat transportasi lho,1
lu tinggal tarik keluar supirnya dari mobil suruh tanggung jawab beres dari pada ngumpulin masa cuma buat ngancurin mobil bikin macet belum lagi kalo si bodoh nyeletuk bakar mobilnya,fasilitas umum,lu tinggal tarik keluar supirnya dari mobil suruh tanggung jawab beres dari pada ngumpulin masa cuma buat ngancurin mobil bikin macet belum lagi kalo si bodoh nyeletuk bakar mobilnya,"['lu', 'tinggal', 'tarik', 'supirnya', 'mobil', 'suruh', 'tanggung', 'beres', 'ngumpulin', 'ngancurin', 'mobil', 'bikin', 'macet', 'kalo', 'si', 'bodoh', 'nyeletuk', 'bakar', 'mobilnya']",lu tinggal tarik supirnya mobil suruh tanggung beres ngumpulin ngancurin mobil bikin macet kalo si bodoh nyeletuk bakar mobil,1
pasti kena macet kak cuman nilai plusnya biasanya halte tj lebih deket dari rumah jadi irit ongkosbisa jalan kaki atau kalau mau yang ga macet banget cari tj yang punya jalur sendiri,fasilitas umum,pasti kena macet kak cuman nilai plusnya biasanya halte tj lebih deket dari rumah jadi irit ongkosbisa jalan kaki atau kalau mau yang ga macet banget cari tj yang punya jalur sendiri,"['kena', 'macet', 'kak', 'cuman', 'nilai', 'plusnya', 'halte', 'tj', 'deket', 'rumah', 'irit', 'ongkosbisa', 'jalan', 'kaki', 'ga', 'macet', 'banget', 'cari', 'tj', 'jalur']",kena macet kak cuman nilai plus halte tj deket rumah irit ongkosbisa jalan kaki ga macet banget cari tj jalur,1
jalanan macet ini adalah salah satu hal yang paling sering dimention orangorang yang merantau ke jakarta jakarta sewaktu jam berangkat dan pulang kerja sering banget macet udah gitu banyak pengendara yang suka seenaknya ketika berkendara,fasilitas umum,jalanan macet ini adalah salah satu hal yang paling sering dimention orangorang yang merantau ke jakarta jakarta sewaktu jam berangkat dan pulang kerja sering banget macet udah gitu banyak pengendara yang suka seenaknya ketika berkendara,"['jalanan', 'macet', 'salah', 'dimention', 'orangorang', 'merantau', 'jakarta', 'jakarta', 'jam', 'berangkat', 'pulang', 'kerja', 'banget', 'macet', 'udah', 'gitu', 'pengendara', 'suka', 'berkendara']",jalan macet salah dimention orangorang rantau jakarta jakarta jam berangkat pulang kerja banget macet udah gitu kendara suka kendara,1
ya kali rakyat milih curhat dan olahraga pas lagi macet bukanya pulangnya biar cepat atau memang gak punya solusi buat mengatasi macet,fasilitas umum,ya kali rakyat milih curhat dan olahraga pas lagi macet bukanya pulangnya biar cepat atau memang gak punya solusi buat mengatasi macet,"['ya', 'kali', 'rakyat', 'milih', 'curhat', 'olahraga', 'pas', 'macet', 'bukanya', 'pulangnya', 'biar', 'cepat', 'gak', 'solusi', 'mengatasi', 'macet']",ya kali rakyat milih curhat olahraga pas macet buka pulang biar cepat gak solusi atas macet,1
pintu tol banyumanik juga ngeri abis tanjakan suka bikin macet,fasilitas umum,pintu tol banyumanik juga ngeri abis tanjakan suka bikin macet,"['pintu', 'tol', 'banyumanik', 'ngeri', 'abis', 'tanjakan', 'suka', 'bikin', 'macet']",pintu tol banyumanik ngeri abis tanjak suka bikin macet,1
jangan cuma asal komen bodoh liat bukti rekaman baru lu bisa komen udah jelas lajur kiri ada perbaikan jalan dan lajur kanan dan kiri posisi macet total sopir baru sadar rem blong setelah tau di depan ada macet,fasilitas umum,jangan cuma asal komen bodoh liat bukti rekaman baru lu bisa komen udah jelas lajur kiri ada perbaikan jalan dan lajur kanan dan kiri posisi macet total sopir baru sadar rem blong setelah tau di depan ada macet,"['komen', 'bodoh', 'liat', 'bukti', 'rekaman', 'lu', 'komen', 'udah', 'lajur', 'kiri', 'perbaikan', 'jalan', 'lajur', 'kanan', 'kiri', 'posisi', 'macet', 'total', 'sopir', 'sadar', 'rem', 'blong', 'tau', 'macet']",komen bodoh liat bukti rekam lu komen udah lajur kiri baik jalan lajur kanan kiri posisi macet total sopir sadar rem blong tau macet,1
tapi langit bakalan macet ketika kamu tau semuanya dan tak pernah meminta ampun padanya,fasilitas umum,tapi langit bakalan macet ketika kamu tau semuanya dan tak pernah meminta ampun padanya,"['langit', 'macet', 'tau', 'ampun']",langit macet tau ampun,1
the gym itself is quite far from home di paskal hyper square tapi untuk lebih produktif dan menghindari macet gw pilih ngegym pagi banget,fasilitas umum,the gym itself is quite far from home di paskal hyper square tapi untuk lebih produktif dan menghindari macet gw pilih ngegym pagi banget,"['the', 'gym', 'itself', 'is', 'quite', 'far', 'from', 'home', 'paskal', 'hyper', 'square', 'produktif', 'menghindari', 'macet', 'gw', 'pilih', 'ngegym', 'pagi', 'banget']",the gym itself is quite far from home paskal hyper square produktif hindar macet gw pilih ngegym pagi banget,1
bener guys jgn ke jogja mending ke kota lain aku gamau sore sore lewat gejayan atau seturan jadi tambah macet,fasilitas umum,bener guys jgn ke jogja mending ke kota lain aku gamau sore sore lewat gejayan atau seturan jadi tambah macet,"['bener', 'guys', 'jgn', 'jogja', 'mending', 'kota', 'gamau', 'sore', 'sore', 'gejayan', 'seturan', 'macet']",bener guys jgn jogja mending kota gamau sore sore gejayan tur macet,1
oiya baru sadar kan namanya traffic sama highlight wkwkwk jadi lampu lalu lintas anying pantes macet,fasilitas umum,oiya baru sadar kan namanya traffic sama highlight wkwkwk jadi lampu lalu lintas anying pantes macet,"['oiya', 'sadar', 'namanya', 'traffic', 'highlight', 'wkwkwk', 'lampu', 'lintas', 'anying', 'pantes', 'macet']",oiya sadar nama traffic highlight wkwkwk lampu lintas anying pantes macet,1
pancoran macet banget dari ujung cikoko ternyata ada truk mogok deket belokan tendean,fasilitas umum,pancoran macet banget dari ujung cikoko ternyata ada truk mogok deket belokan tendean,"['pancoran', 'macet', 'banget', 'ujung', 'cikoko', 'truk', 'mogok', 'deket', 'belokan', 'tendean']",pancoran macet banget ujung cikoko truk mogok deket belok tendean,1
rilll kena macet juga jdi bedirinya makin lama gpp dh krl ga kena macet,fasilitas umum,rilll kena macet juga jdi bedirinya makin lama gpp dh krl ga kena macet,"['rilll', 'kena', 'macet', 'jdi', 'bedirinya', 'gpp', 'dh', 'krl', 'ga', 'kena', 'macet']",rilll kena macet jdi bedirinya gpp dh krl ga kena macet,1
trs ya tj tuh padetnya bnrn mual bgt mana macet aku jg prefer krl walaupun desek desekan jg at least g macet dan g sebikin mual tj,fasilitas umum,trs ya tj tuh padetnya bnrn mual bgt mana macet aku jg prefer krl walaupun desek desekan jg at least g macet dan g sebikin mual tj,"['trs', 'ya', 'tj', 'tuh', 'padetnya', 'bnrn', 'mual', 'bgt', 'macet', 'jg', 'prefer', 'krl', 'desek', 'desekan', 'jg', 'at', 'least', 'g', 'macet', 'g', 'sebikin', 'mual', 'tj']",trs ya tj tuh padetnya bnrn mual bgt macet jg prefer krl desek desekan jg at least g macet g bikin mual tj,1
jl ahmad yani arah summarecon bekasi macet parah dikarenakan ada kecelakaan yang sepertinya memakan korban karena cuma bisa liat dari arah berlawanan semoga korban diterima di sisinya,fasilitas umum,jl ahmad yani arah summarecon bekasi macet parah dikarenakan ada kecelakaan yang sepertinya memakan korban karena cuma bisa liat dari arah berlawanan semoga korban diterima di sisinya,"['jl', 'ahmad', 'yani', 'arah', 'summarecon', 'bekasi', 'macet', 'parah', 'kecelakaan', 'memakan', 'korban', 'liat', 'arah', 'berlawanan', 'semoga', 'korban', 'diterima', 'sisinya']",jl ahmad yani arah summarecon bekas macet parah celaka makan korban liat arah lawan moga korban terima sisi,1
wkwkwkwk ga macet kalau lewat dalung banjir aja pas hujan,fasilitas umum,wkwkwkwk ga macet kalau lewat dalung banjir aja pas hujan,"['wkwkwkwk', 'ga', 'macet', 'dalung', 'banjir', 'aja', 'pas', 'hujan']",wkwkwkwk ga macet dalung banjir aja pas hujan,1
kerja woy ini orang udah bikin macet jalur utama terusan gamau di tindak,fasilitas umum,kerja woy ini orang udah bikin macet jalur utama terusan gamau di tindak,"['kerja', 'woy', 'orang', 'udah', 'bikin', 'macet', 'jalur', 'utama', 'terusan', 'gamau', 'tindak']",kerja woy orang udah bikin macet jalur utama terus gamau tindak,1
sama aja sich aku mah cuma kalo gak mau macet ya gi wkwkwk,fasilitas umum,sama aja sich aku mah cuma kalo gak mau macet ya gi wkwkwk,"['aja', 'sich', 'mah', 'kalo', 'gak', 'macet', 'ya', 'gi', 'wkwkwk']",aja sich mah kalo gak macet ya gi wkwkwk,1
krl minusnya kadang suka kedapetan kereta yg pake kipas jdi bnran berasa dipepes wkwk kalo tj ya macet dan kalo ngerem bikin ngejungkel,fasilitas umum,krl minusnya kadang suka kedapetan kereta yg pake kipas jdi bnran berasa dipepes wkwk kalo tj ya macet dan kalo ngerem bikin ngejungkel,"['krl', 'minusnya', 'kadang', 'suka', 'kedapetan', 'kereta', 'yg', 'pake', 'kipas', 'jdi', 'bnran', 'berasa', 'dipepes', 'wkwk', 'kalo', 'tj', 'ya', 'macet', 'kalo', 'ngerem', 'bikin', 'ngejungkel']",krl minus kadang suka kedapetan kereta yg pake kipas jdi bnran asa pepes wkwk kalo tj ya macet kalo ngerem bikin ngejungkel,1
btw jemput ngantar cewe itu bukan bare minimum itu effort yaaa yang bilang antar jemput itu bare minimum gua anggap binatang sih soalnya gaada akal minyak mahal jalanan macet dan kaya khontolll tinggal duduk dan jadi passanger princess itu anugerah,fasilitas umum,btw jemput ngantar cewe itu bukan bare minimum itu effort yaaa yang bilang antar jemput itu bare minimum gua anggap binatang sih soalnya gaada akal minyak mahal jalanan macet dan kaya khontolll tinggal duduk dan jadi passanger princess itu anugerah,"['btw', 'jemput', 'ngantar', 'cewe', 'bare', 'minimum', 'effort', 'yaaa', 'bilang', 'jemput', 'bare', 'minimum', 'gua', 'anggap', 'binatang', 'sih', 'gaada', 'akal', 'minyak', 'mahal', 'jalanan', 'macet', 'kaya', 'khontolll', 'tinggal', 'duduk', 'passanger', 'princess', 'anugerah']",btw jemput ngantar cewe bare minimum effort yaaa bilang jemput bare minimum gua anggap binatang sih gaada akal minyak mahal jalan macet kaya khontolll tinggal duduk passanger princess anugerah,1
hmmm sebenernya mau naek apa aja gak jadi soal sih gw emang kebiasaan aja kl liat google map dr rumah ke kantor udah bnyk merah ya gw naek cl kalo gk macet ya naik mobil dibikin enak dan gampang jd tiap orang bebas milih mulai yg rambutnya disasak sampai dikriting bihun,fasilitas umum,hmmm sebenernya mau naek apa aja gak jadi soal sih gw emang kebiasaan aja kl liat google map dr rumah ke kantor udah bnyk merah ya gw naek cl kalo gk macet ya naik mobil dibikin enak dan gampang jd tiap orang bebas milih mulai yg rambutnya disasak sampai dikriting bihun,"['hmmm', 'sebenernya', 'naek', 'aja', 'gak', 'sih', 'gw', 'emang', 'kebiasaan', 'aja', 'kl', 'liat', 'google', 'map', 'dr', 'rumah', 'kantor', 'udah', 'bnyk', 'merah', 'ya', 'gw', 'naek', 'cl', 'kalo', 'gk', 'macet', 'ya', 'mobil', 'dibikin', 'enak', 'gampang', 'jd', 'orang', 'bebas', 'milih', 'yg', 'rambutnya', 'disasak', 'dikriting', 'bihun']",hmmm sebenernya naek aja gak sih gw emang biasa aja kl liat google map dr rumah kantor udah bnyk merah ya gw naek cl kalo gk macet ya mobil bikin enak gampang jd orang bebas milih yg rambut sasak dikriting bihun,1
prefer krl sih masi ada gerbong wanita dan tidak terjebak macet walau terhimpit terpepes,fasilitas umum,prefer krl sih masi ada gerbong wanita dan tidak terjebak macet walau terhimpit terpepes,"['prefer', 'krl', 'sih', 'masi', 'gerbong', 'wanita', 'terjebak', 'macet', 'terhimpit', 'terpepes']",prefer krl sih mas gerbong wanita jebak macet terhimpit pepes,1
sumpah ni orang mending suruh jadi manajer celebrity fitness aja dah kaum urban n org jakarta ga butuh alat gym di panas n polutif nya jakarta mereka butuh transportasi umum yg super layak n bebas macet,fasilitas umum,sumpah ni orang mending suruh jadi manajer celebrity fitness aja dah kaum urban n org jakarta ga butuh alat gym di panas n polutif nya jakarta mereka butuh transportasi umum yg super layak n bebas macet,"['sumpah', 'ni', 'orang', 'mending', 'suruh', 'manajer', 'celebrity', 'fitness', 'aja', 'dah', 'kaum', 'urban', 'n', 'org', 'jakarta', 'ga', 'butuh', 'alat', 'gym', 'panas', 'n', 'polutif', 'nya', 'jakarta', 'butuh', 'transportasi', 'yg', 'super', 'layak', 'n', 'bebas', 'macet']",sumpah ni orang mending suruh manajer celebrity fitness aja dah kaum urban n org jakarta ga butuh alat gym panas n polutif nya jakarta butuh transportasi yg super layak n bebas macet,1
maksa amatjabar tambah macet banjir eh skrg mau ngancurin jakartakaga bakal banget utk dipilih,fasilitas umum,maksa amatjabar tambah macet banjir eh skrg mau ngancurin jakartakaga bakal banget utk dipilih,"['maksa', 'amatjabar', 'macet', 'banjir', 'eh', 'skrg', 'ngancurin', 'jakartakaga', 'banget', 'utk', 'dipilih']",maksa amatjabar macet banjir eh skrg ngancurin jakartakaga banget utk pilih,1
mereka itu ngatasin stres macet dengan stres mindahin pembatas jalan,fasilitas umum,mereka itu ngatasin stres macet dengan stres mindahin pembatas jalan,"['ngatasin', 'stres', 'macet', 'stres', 'mindahin', 'pembatas', 'jalan']",ngatasin stres macet stres mindahin batas jalan,1
pasti th baru kan macet ya jadi cari yg deket aja klo parah bisa jalan,fasilitas umum,pasti th baru kan macet ya jadi cari yg deket aja klo parah bisa jalan,"['th', 'macet', 'ya', 'cari', 'yg', 'deket', 'aja', 'klo', 'parah', 'jalan']",th macet ya cari yg deket aja klo parah jalan,1
nunggunya bawa mobil bikin macet tinggal ngomong ini idenya rk,fasilitas umum,nunggunya bawa mobil bikin macet tinggal ngomong ini idenya rk,"['nunggunya', 'bawa', 'mobil', 'bikin', 'macet', 'tinggal', 'ngomong', 'idenya', 'rk']",nunggunya bawa mobil bikin macet tinggal ngomong ide rk,1
pr buat walikota semarang yang akan datang banyak warganya yg menggantungkan hidup dengan naik transum tp armadanya banyak yg udah lama dan reot sering macet di jalan hari ini malah kebakaran di tengah jalan nb seluruh penumpang beserta kondektur amp supir sudah turun,fasilitas umum,pr buat walikota semarang yang akan datang banyak warganya yg menggantungkan hidup dengan naik transum tp armadanya banyak yg udah lama dan reot sering macet di jalan hari ini malah kebakaran di tengah jalan nb seluruh penumpang beserta kondektur amp supir sudah turun,"['pr', 'walikota', 'semarang', 'warganya', 'yg', 'menggantungkan', 'hidup', 'transum', 'tp', 'armadanya', 'yg', 'udah', 'reot', 'macet', 'jalan', 'kebakaran', 'jalan', 'nb', 'penumpang', 'beserta', 'kondektur', 'amp', 'supir', 'turun']",pr walikota semarang warga yg gantung hidup transum tp armada yg udah reot macet jalan bakar jalan nb tumpang serta kondektur amp supir turun,1
sebat pinggir jalan sambil ngeliat macet itu stress relieve paling murah asli enak banget,fasilitas umum,sebat pinggir jalan sambil ngeliat macet itu stress relieve paling murah asli enak banget,"['sebat', 'pinggir', 'jalan', 'ngeliat', 'macet', 'stress', 'relieve', 'murah', 'asli', 'enak', 'banget']",sebat pinggir jalan ngeliat macet stress relieve murah asli enak banget,1
