complaint,is_complaint
mau di bilang kerja ga bener tapi kenyataanya ga kerja sungai bau full limbah tempat sampah umum ga ada mundur aja kalian dari pada ga guna,1
nggak tau ini dinas kerjanya gimana dikirim laporan via email nggak pernah ditanggapi terdapat tumpukan sampah di tempat yang tidak seharusnya di depan kandang yang beralamat desa serang kecamatan petarukan kabupaten pemalang kami sudah mencoba untuk melapor ke perangkat desa setempat namun tidak ada tanggapan lebih lanjut ini sudah membuat warga sekitar tidak nyaman dan menimbulkan penyakit bagi yang tinggal disekitar sini terdapat juga peternak yang sudah mengalami kerugian yang banyak dikarenakan penyakit yang berasal dari tumpukan sampah ini bila tidak ditinjak lebih lanjut kemungkinan penyebaran penyakit lebih parah dan kerugian yang ditanggung masyarakat sekitar lebih besar,1
mau ngurus sppl mau mengajukan ijin lingkungan mau ngadu soal persampahan mau ngadu soal pencemaran lingkungan di sekitar anda mau ngajuin permohonan bibit tanaman peneduh mau minta tempat sampah buat fasilitas umum kesini aja,1
pak gapura rembang ke barat kok ada bau enggak enak bau apa ya setiap lewat sana pasti menahan nafas karena enggak enak banget,1
sayang sekali perlu ada petugas kebersihan khusus untuk di lingkungan alun alun dan sekitarnya kalau bisa tempat makan sekitar bri diberdayakan bersih bebas sampah semakin ke pojok tempat undar terlalu bau pembuangan sampah mungkin perlu retribusi khusus bagi pedagang yang disitu,1
kantor dinas lingkungan hidup kabupaten tegal ini dari luar terlihat kecil kantor ini mudah ditandai karena banyak truk sampah yang berada di depan kantor akibatnya setiap lewat bau sampah tidak bisa dihindari semoga semakin maju demi lingkungan kabupaten tegal yang bersih,1
sudah satu minggu sampah di perumahan grand pikatan permai belum diambil mohon segera ditindaklanjuti sampah sudah menggunung bisa menjadi sarang penyakit terima kasih,1
mantab saya lapor pohon yang miring ke jalan raya langsung ditindaklanjuti dengan cepat terima kasih sudah dikondisikan dengan cepat dan tuntas,1
mohon lapor pak tolong ada pohon sudah lama mati di jalan wijaya kusuma raya depan indomaret tapi tidak ada tindakan sangat berbahaya bagi pengendara motor jika ada batang nya yang terjatuh di jalan permisi mohon ijin,1
di mohon dengan sangat agar pohon pohon besar yang rawan tumbang di pinggir jalan agar bisa ditindak,1
permisi adakah nomor telepon yang bisa dihubungi mengenai masalah sampah mengapa tidak ada truk sampah atau pengangkut sampah yang rutin memungut sampah di sekitar jalan pembangunan tolong jawab,1
maaf saran pak bu agar tempat sampah di pinggir pantai diperbanyak karena kadang bingung ga ada tempat sampah ada pun bolong sekaligus mungkin bisa diberi larangan membuang sampah di laut terimakasih sebelumnya,1
mohon informasi tempat pembuangan sampah kayu dan daun habis tebang pohon untuk banyuning dan sekitarnya mohon infonya,1
program pesan gadis pelayanan sampah besar gratis di denpasar dari dlhk kota denpasar sangat membantu teman teman yang ingin membuang sampah besar contoh kasur bekas lemari bekas dan bingung mau dibuang kemana kssulitan membuangnya bisa menghubungi dlhk kota denpasar proses yang cepat tidak ribet terimakasih banyak,1
om swastyastu saya mau bertanya untuk kontainer sampah di jalan tukad barito renon bulan ini bahkan setiap hari kenapa ful terus kontainer selalu penuh sehingga saya yang rumah saya dekat sana tidak bisa buang sampah selalu ditolak mohon solusinya karena rumah saya di dekat sini jadi saya merasa tidak perlu menggunakan jasa buang sampah mohon pengecekan apakah sudah benar dan kebijakan solusinya,1
jaman sudah serba online untuk buat laporan masih harus datang ke kantor percuma ada operator telpon semestinya bisa dimaanfaatkan untuk menerima pengaduan masyarakat,1
selamat siang ini kenapa ya sampah pempers ga mau diangkut sama petugas sampah nya kan di peraturan sampah plastik sama pempers itu bisa di gabung ini malah ga mah diambil alasan dicampur padahal ga ada sampah daun nya sama sekali tolong dong dipertegas lagi petugasnya sampah pempes saya sampe numpuk gak mau diambil pas ngambil sampah juga gak ada sopan nya tong sampah main lempar aja saya di daerah ayani utara br kertesari tolong petugasnya dipertegas lagi,1
ribet mau laporan aja harus dateng ke lokasi ambil blako ga bisa laporan online,1
assalamualaikum saya sering melihat pohon pohon yang belum tua sering ditebang secara serampangan biarkan pohon besar tumbuh subur hijau lestari lebih baik dipangkas sedikit dari pada ditebang nanemnya aja susah payah harusnya dirawat dan dijaga,1
assalamualaikum dinas pertamanan kota dki jakarta khususnya jakarta barat gimana caranya agar saya bisa minta dinas terkait untuk nebang pohon depan rumah yang sudah sangat lebat agar terlihat rapih karna sudah sangat lebat lokasi saya taman alfa indah seberang gereja kristen jawa terima kasih sebelumnya,1
yang terhormat bapak ibu pejabat apa ga bisa ya yang nyiram tanaman di jalur bus transjakarta diubah jam tugasnya setiap malem pulang kerja naik bus trans selalu aja harus nunggu penyiramnya kelar dulu baru bisa lewat jadi makin malem aja pulang,1
mohon bapak bapak ibu ibu pejabat dinas pemakaman agar diperhatikan tpu tpu di jakarta yang masih terendam banjir mohon segera diuruk dibenahi terutama tpu penggilingan jalan liyur jakarta timur,1
