complaints,category
@yourfridaynit teu rujit cuy can mun macet terus mogok romantis bujur,macet
@txtdrbekasi tambun tuh emang dahhh. kalo mau ke rumah keluarga di tambun macet di rel keretanya itu loh 2 abad keknya baru sampe deh,macet
kaya underpass ngurah rai pas macet karena pom bensin wkwkwkkwk,macet
proyek nurtanio apaan dah macet gk berrs2,macet
proyek ini kapan selesainya? menyebabkan macet. ini di jalan sunda. yg sebelah kiri baru selesai sekitar seminggu yang lalu &amp; ditutup hanya alakadarnya dg semen. hari ini sudah digali lagi di sebelah kanannya. kenapa ngga sekalian sih galinya? https://t.co/zsazodeylx,jalan rusak
@sivmples curiga kaka abis liat yg montok montok pas macet️,macet
@awkifa jalur langit y macet,macet
@errorfeelin @fwbale @feyreverie skrng jalannya udh bagus cmn macet nya masih,jalan rusak
@nickoseptianpa1 semoga aja ga macet deh ya,macet
aku udah lemes letoy soalnya laper bgt tapi macet ckckckc,macet
@jateng_twit buat org yang mobilitasnya smg-kudus kalo lewat sini pagi pasti terganggu karena macet dan banjir. banjir rob pula motor karat semua kalo gk langsung di cuci,macet
@fwbale @feyreverie lu ga akan siap jemput doi di daerah macet banjir dan jalan rusak,jalan rusak
 suka ujan tapi kalo di rumah wkwk pernah denger ada yang ngomong gini. kl eike pribadi dari kecil gak suka ujan pagi karena bikin repot macet dan basah sampe sekolah. jd pas sekolah kl waktu pagi ujan aku bolos sampe skrg kalo pagi2 ujan rasanya anxious wkwk,macet
@asingperson kemarin pernah nyoba agak macet-macet sih,macet
@kobokanaeru lebih aktif main sosmednya. walaupun cuma satu tweet kamu abis dari studio/kejebak macet atau apa. jgn cepet merasa cukup. tetep maintain audiensmu keep the good work. member lain juga sibuk tapi seengganya tetep kasih presence dengan ngetweet lah atau apa,macet
@dicancel dalanne paling cdek + ga macet,macet
@mardanialisera @ridwankamil pertanyaannya : apakah jawabarat sudah terbebas dari yg namanya macet sehingga mau mensolusikan macet di jakarta ?,macet
suami orang 1984 hidup itu kayak jalanan kadang macet kadang lancar makin seru kalau likunya banyak. punya hobi unik cerita lucu atau mungkin unek2 yang pengen dibagi ? yuk kenalan! https://t.co/n4wrrs9ehw,jalan rusak
@yadengansiapa baru ngalamin tadi pagi berangkat lewat jatiwaringin baru sampe assafiyah udh macet kepikiran pnegen terbang aja bisa gak ya,macet
@danhengm @convomf kalau pas jam kerja ya capek pikiran lelah natap monitor berjam-jam efeknya bisa merembet kemana-mana belum lagi nanti capek fisik perjalanan pulang pergi kena macet + debu + bising,jalan rusak
@se_na_sionalis @fajarwahyu99 @peacemaker_gunn @bacottetangga__ parameter ugal-ugalan nya gimana dulu? kalo jalanan macet masa iya masih ugal-ugalan,jalan rusak
@rrouckstar wkwkw macet neng macet weh rame bener ni jajanan pasarnya,macet
bayangin commute 3 jam dibawah hujan lebat. best days aja 3 jam. lah hujan = macet = longer commute = makin capek. becek kotor dingin ga sampe2 lembab udah lah ancur pokonya,macet
@kota_tangerang kebon nanas... tiap hari macet mulu... itu proyek kapan selesai... pekerjaan paling lama 3 minggu kalo dikerjain... bikin macet mulu... ama proyek trotoar kapan beresnya...,macet
@edwinbazz jadi macet teh lain krn hiji faktor hungkul kabeh ge ngiluan berkontribusi jadi wayahna tarimakeun we enjoykeun ,macet
giliran prgi cepat malah ga macet. kntol lah jalanan ubud ini,jalan rusak
macet cuy. macet. tolong lah.,macet
pt bank rakyat indonesia (persero) tbk atau bri menyambut baik program kebijakan hapus tagih bagi kredit macet umkm sesuai dengan peraturan pemerintah (pp) nomor 47 tahun 2024. selengkapnya: https://t.co/jkklvgjwp8 #bank #perbankan #bri #umkm #kredit #keuangan #utang https://t.co/kubd1235lm,macet
@tequiereal udah ben itu kan gue kejebak macet sampe 7 jam nahpas gue bisa jlan udh bersih jalannya,jalan rusak
di bali kalo nemu jalan tembus yang sepi dan ga macet terus lebih cepet rasanya lebih bahagia daripada nemu uang tapi kalo nemu duitnya segepok seneng juga sih,jalan rusak
@folkshittmedia dugaan saya gini.. itu jalan macet yg mobil item minggir tapi masi kurang minggir jadi bmw tadi nggak nyalipnya nanggung akhirnya dia maksa kebetulan sisi lawanan jg macet tau sendiri kan klo jalan macet dan banyak motor kayak gimana,jalan rusak
@myliptin dimana macet?,macet
@txtdaritng yg paling gue benci tu pertigaan rumah sakit annisa perempatan starbuck jatiuwung cooook tiap sore macet mulu. pak ogahnya kocak juga gak bisa atur jalan malah bikin nambah macet,jalan rusak
guru: kita bisa mengatasi macet dengan fisika sebenarnya gwe: gimana pak? guru: ya lihat dulu penyebab terjadinya macet. misalnya macet karna lampu merah. tinggal buang saja lampu merahnya. gwe: ‍️‍️‍️,macet
@beloxeayde @gakgitudongpal @__ishtar_ @eneroisbulking mungkin sesekali asik tp kalo udah tiap hari dimana kalo pake motor ke kantor semua basah laptop basah pedestrian ancur bawa mobil pun gak mungkin karena macet nya udah gak masuk akal hujan bisa dinikmati kalo infrastruktur nya bener dulu gw suka ujan tp skrg benci ,macet
@txtdaritng bukan pertigaan tapi jalan. cuma gatau nama jalannya depan rumah sakit anissa yang ada pertigaan. sama jalan dumpit dari mulai depan pt sas sampe pertigaan bekas indomaret yg mau ke bitung lewat pasirandu juga sekarang mulai macet terus. kampret capek bgt,jalan rusak
senang sama diri sendiri yang kalau mau pergi kemana kemana selalu cek cuaca walau kadang meleset kondisi jalan(macet apa gak) atau cctv tol yg bisa diakses soalnya kalau gak cek itu sebelum jalan suka cemas berlebihan.,jalan rusak
capek banget yah wisuda aja kudu bolak balik naek pesawat berjam-jam biasa wisuda tinggal pesen taksol brem brem kena macet dikit yah satu setengah jam aja sampe gitu. trus ini napa di changi ada croissant terbang dah??? https://t.co/8kdnqjj2rg,macet
naik mobil kena macet pick your poison,macet
@yourfridaynit romantis macet banjir ️,macet
jadi keinget dulu pas sma aku di pondok berangkat sama temen² naik angkutan umum posisi hujan bener² deres mana angkutan umumnya lewat jalan lain karena jalan yg biasa kami lalui macet parahh posisi itu agak panik karena takut telat. sampe sekolah jam 07.30an hampir jam 8,jalan rusak
@mardanialisera @ridwankamil solusi macet ya pulangkan rk ke bandung karena bisa-bisa program malah bikin tambah macet.,macet
livestream paslon no 2 calon petahana. soal sampah macet air bersih ternyata jawabannya gitu. uji publik pilwali hari ini. https://t.co/flp4dvymau,macet
@convomf 10-13 klo gk macet,macet
@pacecrypto pensiun kq di bali bro cari masalah nama nya. macet bnyk sampah bnyk org stress,macet
@edwinbazz sabenerna bisa dikurangan macet lamun tanda (belok kanan coret) ti cibol teu dilanggar lolobana treuk² badag barelok kanan diatur pa ogah tea ,macet
di gs pada ngeluh macet mulu. mana yg ngeluh bawa mobil sendiri2 minimal mikir sndiriny yg bikin macet ,macet
@eneroisbulking dulu pas kecil saya suka hujan sekarang saya benci klo hujan why ? banjir macet hujan deras = listrik padam yg benerinnya nunggu hujan reda bocor = keluar uang tidak direncanakan mending mendung ngga usah hujan hujan juga merusak bisnis orang2,macet
aku stop meromantisasi hujan setelah pernah keujanan di tengah macet di arah pulang setelah belanja bahan kue pake motor udah ga mikirin hape badan yang kepikiran tepung sagu yang gw beli ,macet
@hariboppi sabar lg kena macet,macet
@dziqii @eneroisbulking gerimis okelah kalo ujan lebat nih agak pr rumah rembes jalanan banjir kendaraan mogok+macet+nuntun,jalan rusak
bazeng mesti macet bgt deh kampus,macet
@kiranafauzia2 oiaaa cisaat lumayan 20 menitan lagi dari sini kalau pake motor. kalau pake mobil bisa 1 jam disini daerah macet,macet
https://t.co/dh333waihv respon paslon no 1 pilwali soal macet sampah ruang terbuka hijau dll di kodya. uji publik hari ini.,macet
pdhl ujan2an pas motoran tuh &gt;&gt;&gt;&gt;&gt;&gt; soalnya ga macet,macet
wkwkwkw emang bangsat sih ini apalagi pas awal awal deket transito macet bgt gara gara ginian.,macet
udah semingguan ini depan rumah macet parah gara gara ada proyek resapan air. gila aja macetnya dari perlimaan ring road sampe tumini ,macet
@macrowny @widino suasananya emg enak sih yg gak enak macet sekitar situ wkwwkwkw pernah ngelewatin pas peak season mau menuju semarang.,macet
juanda margonda macet bgt anjing gw tubrukin jg nih atu atu,macet
@mardanialisera @ridwankamil biang kerok macet itu dari depok pak.. lihat aja dari tol desari kaya tsunami mobil dari jagorawi kaya tsunami mobil dari raya bogor kaya tsunami mobil dari meruyung sawangan tsunami motor.. apa yg sdh pks buat utk depok? sdh mulai perbaikan iya tpi terlmbat 20 th kebelakang.,macet
macet di jalan bisa sambil nengok bentar https://t.co/j8ejnkytps,jalan rusak
paling sebel kalo lagi macet orang pada klakson klakson kayak ini kan macet lampu merah ya lu mau klakson sejuta kali juga kaga jalan orang belum ijo lampunya kalo mau cepet mah naik anjing aje naik anjing bang,jalan rusak
jingan jebul dalane diportal beton pantes macet tros,macet
@souwbek ga bgt skrg dimana2 macet,macet
@foodfess2 guys mau minta tolong dong gimana cara yakinin orang tua buat resign dari kerja kantoran nya dan lanjut buka usaha catering? soalnya gua udh bertahun-tahun ini berusaha buat yakinin ibu gua buat buka catering aja ketimbang lanjut ngantor setiap hari 9-5 yg bahkan kalo macet-,macet
jam 5.30 udh macet tuh menurut gw emang dasar dianya aja yg problematik,macet
@rrkhamrthaa macet e tekan lalung dan taman pancasila️,macet
@giyakecil bisa sampe sejam ya kalo macet malaz,macet
kenapa macet gt,macet
@kukuxchan pantessss w setiap mau belok ke arah jatwar selalu macet parah dah 3 harian telat trs,macet
ini x abis diperbarui kenapa setiap muter video jadi macet :) perasaan tadi engga :),macet
serang kalo hujan macet bgt karna mobil semua aku yg di dalem mobil jg kesel wkwk makanyaaa sekolahku kalo hujan sampe jam 10 lebih jg masih boleh masuk kangennnn bgttyyuwuwjwkwiehkwk mqu sma lagihhh,macet
becek banjir basah macet ugh,macet
@folkshittmedia salahnya knp bmw nyalip mobil kia kalau dia sabar di belakang mobil kia ma gak bakalan gitu kan . yg bikin macet pasti bmw yg mau nyalip mobil kia hitam itu . macet sampai mau lampu merah kan,macet
transportasi umum dikembangkan pusat bisnis dibuat rata. apa yang baik seperti jaklingko dilanjutkan. apa solusi netizen untuk macet jakarta? @ridwankamil #jakartabarujakartamaju https://t.co/yynygk4nnu,macet
@cnnindonesia klo liyat vid dash cam yg beredar keknya ngebut aja sih truknya supir ngga awas tiba2 ada antrian macet didepan.... ngerem mendadak ngga bisalah cepat berhentiin truk roda 18 muatan berat begitu... ,macet
@rikyyy77 soalnya dijalan macet makanya telat,jalan rusak
yayaya jl magelang macet parah perbaikan pipa pas di perempatan selokan telat ngantor potong uang makan tapi dah pasrah,macet
@ayastya kerja di lokasi pusat macet dan hrs berhadapan sm manggarai,macet
@ote_risdaw lewat yonif aja bang walopun jalannya brag brig breg wkwkw cidomba macet parah pas selasa tuh wkwk,jalan rusak
@susiloels @joeyakarta @poldajawatimur @poldajatimpjr @15libels @poldajogja bukan buat cepetan nyusul macet kami jalan cuma 5-10km per jam patwal buat ngatahin mobil lain ngelewatin mobil kami,jalan rusak
@giegulali @joeyakarta @poldajawatimur @poldajatimpjr @15libels @poldajogja melanggar mas. sesama masyarakat sipil hak dan kewajiban sama saja. macet ya macet sama2.,macet
orgil macet bgt,macet
@denysya17770123 untung2an kadang kalau lewat sana lancar tp di per4an cidombanya macet parah wkwk,macet
ini baru jalur langit aja macet,macet
keujanan kalau harus kerja jadi take time krn perlu pake jas ujan dan hal lain yg diperlukan kena macet kalau naik motor pas abis ujannya becek banjir rumah bocor sinyal di rumah ngadat ngadat. jadi gasuka ujan ,macet
macet bgt kocak bolos kampus aja apa yah,macet
@byulaaan csat tuh penentu masa depan buat anak muda sana gitu kak.bahkan setahuku setiap csat para pekerja disuruh berangkat siang biar nggak macet selama 35 menit masa ujian listening inggris pesawat nggak lewat.cmiiw,macet
banyak banget proyek sepanjang kalimalang ga ada proyek aja udah macet apalagi sekarang,macet
hp ku scroll dikit macet and panas pol anjayyy,macet
kalau ngatain aku aku lempar fakta di depan mukanya. ini yang hutang siapa yang bikin macet setan. mana kagak dibayar semua goblok. soalnya ada iklan terus tanya dikejar-kejar gak? dijawab ya kemarin dikejar-kejar. aku pengen narik kerah lehernya elu yang hutang dongo,macet
jakal tuh emang selalu rame dan macet ya,macet
@up2youaja @herwatoe @joeyakarta @aripriyambodo1 @poldajogja @polresjogja @bidhumas_jatim @listyosigitp @ahriesonta @merap nganggo o patwal nek ra pengen macet wkwj https://t.co/kqpfk8ppym,macet
nek ra gelem keno macet yowes rasah mrene nambah-nambahi masalah wae..,macet
@dennysiregar7 @univ_indonesia @fhunair @unpad @ugmyogyakarta skrg kampus gk dianggep ama raky soalny byk rektor dosen guru besar jd partisan partai bahkn jd aktor pilem dirty vote. mhsiswa dikit2 demo bikin macet ngerusak fasum giliran dsuruh desak dpr spy sahkan ruu perampasan aset eh malah brenti demo hahahaa translate post,macet
gue telat cuma sekali itu jg grgr kejebak macet total di luar kota wkwk,macet
@nickoseptianpa1 semoga aja yah ga macet,macet
@malesbangunaja @mazzini_gsp pamer masjid yg bikin macet warga sekitar ituloh,macet
@torajacindo macet biar lwt tol,macet
@njmriders braga macet ga?,macet
cuman... hari ini tadi kena macet di pasteur kebayang kan seberapa macetnya? wkwk. aku coba nih kontak jackal eh ternyata sekarang udah api full bot. satu sisi oke sisi lain bikin awang2en karena udah panik.,macet
@aloeceraa deketttt agak macet ajaaa,macet
beli anjing di mana ya cape naik motor macet-macetan trs isi bensin terus. mau naik anjing aja naik anjing,macet
bisa ngerti ga sih kalo pintu kamar susah dibuka tu berarti kekunci jangan dipaksa mana orang lagi mau pake baju jadinya macet kan kunci kamar ah elah ada aja yg bikin badmood,macet
wkwkkwk bnr bgt. macet keujanan di rush hour gak dapet angkot gak dapet tj gak dapet jaklingko bahkan ojol pun enggak. nangis2 bingung mau pulang gmn jarak kantor di kuningan dlu ke rumah around 30 km lebih dgn waktu tempuh 2.5 jam. mana lagi puasa udah azan blum minum. ,macet
ni serpong rame bat dah rame ajg lu pada naik anjing aja dah biar kagak usah macet panjang panas begini,macet
macet mobil dan motor biasa macet kontainer masyaallah https://t.co/vm2cixcagd,macet
@tanyakanrl ya pasti jelek. jumlah berapapun kalo collectibility jelek ya jelek semua jadinya. temenku pengajuan kpr ditolak gegara iseng macetin paylater 320rb. kalo diperbankan macet kecil justru bahaya karena jadi keliatan bad character bukan karena gak mampu bayar.,macet
melambatkan pekerjaan yg udah ditugaskan tu sama dengan melambatkan pekerjaan org lain. ga semua org mau kerja lelet orang lain jg punya to do list masing2 pls be punctual 1 macet semua jadi macet tolong bgt la,macet
masih pagi udh macet aja‍ https://t.co/ei9dl1deyj,macet
@prfmnews eta kumaha analisa sebelum kaluar perizinan bizpark nya? biang macet satpam na oge memprioritaskan kendaraan ti bizpark wae,macet
@mustafa81423871 @naz_lira @divhumas_polri @listyosigitp kondiai macet gimana mau mobil gerak,macet
@convomf satu hari bisa drained karena coworkers and boss hari lainnya karena kerjaan numpuk tapi deadlinenya mepet di hari lainnya karena perjalanan pulang yang ramai dan macet. or maybe simply because our mood is already ruined since we do this every day ,jalan rusak
gk terlalu macet tapi org org bawa motor barbar banget anj,macet
@nickoseptianpa1 mudah mudahan nanti gak macet ya bang,macet
@tanyarlfes dua dua ny gk banget ini nder. pp berarti 2 jam ya ini udh termasuk macet ny gk? trs buat transportasi gmn? sejam itu jauh kira kira biaya transportasi pp nya brp di kaliin sma brp hari kerja. kira kira cukup gk gaji segitu. atau klo kamu pke kendaraan hitung bensin ny,macet
@nickoseptianpa1 semoga aja pulangnya ga macet kak,macet
mobil anjing udh tau gang sempit masih aja lewat situ ya macet lah tolol,macet
patroli blue light personil sat lantas polres batu bara di lokasi rawan macet dan rawan laka guna antisipasi gangguan kamseltibcarlantas di wilkum polres batu bara rabu (13/11/2024) malam https://t.co/oabicu6pil,macet
sedikit macet untuk arah cileunyi sbelum keluar gt bubat,macet
@txtdaritng udh macet saja min,macet
@toourminee tapi macet banget depan jis,macet
ini kok sering banget ya lampu merah concat di bikin hijau 1 arahnya lama.. ini tadi arah lainnya sampai macet padahal dari barat ke timur sampai gak ada yg lewat tetep hijau. | @nofafifu_,macet
@merapi_uncover kalian nunggu daerah yg dikenal sabar marah ya? sana pulang ke jakarta bikin telat kerja macet di jalan hobi klakson2. yogyakarta juga tidak rugi kehilangan orang2 yg gatau tatakrama untung malah. monggo balik,jalan rusak
@ohnana80 kronologi nya kurang tau soal nya pas nyokap lewat udah dalam keadaan begitu dan macet panjang,macet
pagi ini jalanan dari rumah - tempat kerja macet dunya akherat ekonomi sudah mulai pulih kah?,jalan rusak
@ridwankamil bandung we te beres jenuk kang preman jenuk kang palak jenuk kang parkir liar geng mtr parah jalanan kota macet parah jalanan dipalemburan rusak te di urus kmo mimpin jakarta beki ancur atuh,jalan rusak
skrng msh blm sampe dan msh super macet shshshshs pasti set 9 kurang dikit nih nyampenya,macet
hari2 telat stgh jam bulan ini ud telat brp kali nih sumpah macet ga jelas trs https://t.co/4szfzl54qb,macet
macet bgt gila,macet
@yoongimalmer ada cabang disitu ato wfc an teh??? eh itu pusatnya macet pulak jalanan2nya....,jalan rusak
@txtdrbekasi gua lewat si jam 10-an rasanya ke di panggang panas bet gilakkkk mana macet pula,macet
macet apa lagi ini yaallah t^t https://t.co/9vk60zqmqp,macet
gajelas bgt ni macet knpsi,macet
yg tolol dri rk ya bgini mw maju di pilgub jkt tp ga punya track record pengendalian transportasi bodebek dg jakarta. mentok di tol. ya ttp macet lah..,macet
bekasi b nya banke! ora ada solusi nya pisan macet teh. polantas cuman ngopi doang di pinggir jalan ora ada pisan tuh ngatur lalin,jalan rusak
@curlycurvyy gapapa macet yang penting jaran goyang,macet
capek banget udah macetttt ditambah proyek yg kaga kelar2 bikin tambah macet ya allah dosa jariyah bener dehhhhhhhhhhhhhhhhh emg kagak mikir,macet
anjrit ada apeni macet amat,macet
@rezemary wkwkwkkw wes macet wong wong an e lek ngegas ra ndelok kanan kiri dadine kecipratan,macet
@kegblgnunfaedh punya ide jangan dipaksakan utk dilaksanakan. lihat saja kebijakan zonasi..katanya biar ga macet buktinya yg anter pake mobil antri belum lagi kasus lain nya...trus skrng kl di aplikasikan nti apa keuntungan nya? ga semua anak suka coding dan ai...jadi pemaksaan juga kan!!!,macet
@jaemain kurang berminat soale kalau pengiriman darat begini rawan kena macet di perempatan lampu merah dan berujung nyangkut di dc cakung. mending via udara pakai merpati pos tapi minusnya harus dikasih makan dulu baru dia mau kerja. ,macet
starboy vs cihanjuang yang macet https://t.co/tgr57pgagc,macet
@kyungrable biar ngerasain macet juga gpp ak yg anterin tiap adek mw sekolah ,macet
macet bgt anjay,macet
@evamalca @gojekindonesia hehe beda kasus kayaknya kalo saya jam macet males bawa mobil tp jarak pendek akhir2 ini sering didiemin ga mau jalan dan ga mau cancel.,jalan rusak
@pramudian95 @tanyakanrl ga semua masuk biceking misal ada macet di situ bs cek ke ojk masuk atau engganya pinjol pun ada yg masuk ada yg engga.. kita sendiri yg hrs rajin ngecek di ojk bs bawa ktp aj,macet
solusi macet untuk menambah macet ️ setelah mendapatkan sekringat dua keringat terus warganya mau mandi disiapin gak kolam renangnya pak..?? masak masuk kerja tanpa mandi..?? kringat²an pulak warga pengen cepat sampai ke tempat kerja pak bukan mau kringatan https://t.co/xnjpupxy7b,macet
06.35: rt @donynugroho : macet parah di jalan katamso karena ada pengendara yang melawan arus di dekat fly over arah tanah abang jakpus. @tmcpoldametro @ntmclantaspolri #infolalinelshinta https://t.co/ctzovnexpo,jalan rusak
macet apaan tu tai,macet
tb simatupang mana yang ga macet anjg pagi-pagi udah chaos macetnya,macet
06.29: 1. jalan lidah kulon arah simpang lontar lidah kulon macet imbas volume; 2. jalan lidah wetan arah wiyung macet imbas antrean tl. (odp-tm),jalan rusak
coba jenengan tau jalur pantura semarang demak itu perbaikan ga pernah berhenti dari satu titik ke titik lainnya sepanjang tahun bikin macet yg dah ga masuk akal tiap hr sepanjang tahun lancar pas h-14 plus h+6 lebaran terkesan proyek tanpa peduli dampak kpd pengguna jalan,jalan rusak
 @radioelshinta macet parah di katamso karena ada lawan arus di dekat fly over arah tanah abang https://t.co/txrnavtjkx,macet
pls keadilan untuk warga bekasi pls ini macet bgt anjdheussbusbs ga ngotak,macet
tim verifikasi dibutuhkan untuk memastikan pelaksanaan kebijakan pemutihan piutang macet umkm berjalan secara tepat. #ekonomi #adadikompas https://t.co/gjdylnykgh,jalan rusak
kl bpk bisa ngatasin macet di villpam ssya pilih ,macet
@azalaeel @masnyababyrea kalau g ada transum ya salahin pemdanya la ini depan walikota aj ga ada transum mau berangkat kerja naik krl/ke daerah bsd harus kendaraan pribadi/ojol tiap pagi jalan ciater macet padahal jalannya jauh lebih lebar dari jaman dulu tapi ttp aja macet.,jalan rusak
@prfmnews sebagai pemakai jalan ujungberung saya liat yg jd penyebab utama macet adalah mobil-mobil pribadi yg keluar dr jalan-jalan kecil seperti pasir impun cijambe sukup cigending nagrog hingga cipadung. pas-pasan ada smp 8 berlokasi di pasar. tp da emang perumahan2na aya didinya,jalan rusak
@prfmnews p3an tol arah kota hijaunya sebentar sepertinya biar tidak terlihat macet p4an soetta bubat ya ditahan semua di p3an tol bubat https://t.co/kpdoocbuav,macet
@joeyakarta @poldajogja @polresjogja @bidhumas_jatim perjalanan pake jasa biro travel jam kunjungan dr spot ke spot hrs sesuai jadwal. kalo kondisi yogya selalu macet sebaiknya lu demo biar ga ada kunjungan wisata rombongan ke yogya.,jalan rusak
contoh aja misal mau janjian jam 10 orang mah nyampe tikum jam sgitu ini malah jam 10 baru jalan iya kalo deket kalo jauh trus macet kan tai gbs manajemen waktu belom lagi yg jam 10 nya baru prepare bgsttt,jalan rusak
wanita ini tak sengaja merekam seorang pengamen wanita ketika sedang macet. ia salfok alias salah fokus dengan paras cantik pengamen tersebut. https://t.co/lbpbf2n1gr,macet
dahlah tennis habis pulang jaga aja. kyknya kalo jam 7 tennis capek macet pas pulang,macet
@sheandwhite tahun segitu sudah mulai macet,macet
@rswaaaan jauh dan macet lagi,macet
@tomsetom_dr sek mbak tiwas kabeh wes tak keib mobil mevvah pengawalan yen macet spesial tiket ndelok kongser jebul mung dianggep konco tok iki? yowes rapopo mbak aku ikhlas,macet
@mazzini_gsp rk merusak citra dirinya yang dulu terlihat baik terdengar hebat. ternyat buktinya nggak ada. dan program nya sekarang kebanyakan ngawur dan imajinasi . bukan masalah dari solusi tapi sebuah bayangan seakan akan tidak terjadi apa apa. (mengatasi macet dengan mobil curhat),macet
@malesbangunaja @mazzini_gsp pamer al jabbar kak dan destinasi wisata lainya di jabar yg malah bikin macet,macet
@master_rosh_ jadi macet banget ya,macet
@eyizuo @divergeinstinx iyaah kalo gak macet mah tinggal di klaten aja yak.,macet
ok so far 7 oshi + bbrp akibat setelah gw oshiin: 1. azizi: 2022 2. ci gre: blunder 3. flora: idk still no official confirmation but damn. 4. icel: alhamdulillah gak ada 5. ashel: masalah nungguin adzan 6. adel: ditubir gara2 ngeluh macet 7. erine: gak ada juga coy yeay ,macet
pas nyadar kalo itu macetnya karna kecelakaan langsung ucap syukur banget.. kalo aja.. bapak gue kaga melipir buat sholat ashar kemungkinan bisa jd korban juga disana. kek berasa jalan dr yang maha kuasa. jd pas macet 6 jam kemaren di tol itu sekeluarga gak ada yg badmood,jalan rusak
kredit macet menurun direktur utama bri ungkap strategi tingkatkan kualitas aset https://t.co/rbry44jfxw ...,macet
@tanyakanrl nextnya bakal ribet klo mau ajuin di bank lain paylater atau pinjol bakal kelihatan semua recordnya. kerjaan saya ca tiap bank kebijakan analis beda² kadang ada yg record macet nominal tertentu msh bs di tolerir asal ada pembanding lain yg lebih gede atau punya cc bank lain,macet
daily routine (05.00) sholat (05.35) mandi siap-siap (06.10) indit gawe+sarapan+macet di jalan (07.20) nepi tempat gawe (16.15) beres gawe tapi lanjut lembur nepi jam 9 (21.00) beres lembur otw kost (21.15) mandi bersih bersih (22.00) lanjut kerjakeun tugas (00.00)sare ‍,jalan rusak
@sehuncarts @heheinaja @blublekblublack mana kts mu yang di pondok rolag itu???? perlu pake patwal soalnya wonokromo macet ,macet
@azalaeel bsd ada transum kok walaupun opsinya hanya transum mereka sendiri dan armadanya hanya satu bus per rute. kalo soal macet gue udah khatam untungnya saat ini daerah rumah gue udah banyak banget fasilitas yang jaraknya gak sampe 10 menit jalan kaki.,jalan rusak
@sheandwhite macet ga bsa diilangin,macet
hindari toll jorr arah bandara projek jalan macet total km 18 #,jalan rusak
@geloraco bentar lagi ngatur lalu lintas macet,macet
udah macet panes gabawa jaket https://t.co/bcif5pbxha,macet
btw ngomong2 soal truk/konte gua benci bgt anjg tiap pagi ketemu konte gede2 yg buat belok aja susah kek fak macet mulu pagi gua ya allah. klo dulu tuh cmn hari tertentu doang bahkan jamnya juga cmn malem skrg mah apan tai pagi siang sore malem ada mulu https://t.co/ur8u2leseb,macet
kerja yg buat capek pulang pergi aja si sebenernya rumah ke kantor 34km. tua karna macet tomang dan meruya.,macet
gawe isuk isuk balik jam 9 lanjut ngerjakeun tugas nepi peting uhh istirahat kurang kumaha teu kareles mun isuk isuk sok macet nepi 1 jam wae mah,macet
@falldout g ush ke jogja gw g mau kota kelahiran gw macet terus jadi kota polusi,macet
@chocoocii anjgggg beneran aku misuhinn macet jakarta bgttt,macet
info ciledug / tangsel didepan halte petukangan utara samping budi luhur ada kebakaran macet parah skrg krn lg proses pemadaman https://t.co/lcjnuhvgux,macet
@kingtethicc indo mah langsung macet itu sebelah kanan,macet
presiden prabowo hapus piutang macet umkm tani dpd ri lia istifhama dukung upaya pemulihan ekonomi rakyat https://t.co/gbdfletrfw #newssatu #surabaya #dpdri #liaistifhama #jatim #ninglia #prabowo #umkmtani #pemulihanekonomi #hapuspiutang #liaistifhama #ekonomirakyat,macet
@raymond_widjaja @703_bk kalau senayan lg ada jakarta+ itu kan tapi masa sampe petojo jg macet anjir,macet
@nysssryn maaf kak kurang tau juga soalnya aku pas turun dr busway udh macet parah banyak pemadam gataunya udh ludes aja itu ruko yg dpn,macet
@kalasijib engga dah serba diburu² belom macet lampu merahnya ,macet
kaga penting anying ngebanyakin mall. urus noh titik macet yg dimana². dikira orang stress di jalan kena macet bakal mikir oh depan mall nih melipir dulu ah fakkkk,jalan rusak
macet...,macet
yg lain boleh jalan. gue masih macet disini https://t.co/43ve1wlg7o,jalan rusak
@ranadirana yeaaayyy ikut senenggg seneng tp langsung capek karena lihat jalanan macet,jalan rusak
anjing jam segini bisa2nya macet mana belum makan malam https://t.co/zcy2agr1sm,macet
makasih bandung udah gak hujan dan macet hari ini jadi aku dan abe bisa kesana kesini. super duper happy hari ini ditutup dengan segelas matcha dan thai tea yang seperti dejek vs bonek https://t.co/nbbfcb56y3,macet
@txtfromjogja beh sik rapi kui reneo nang sumatra byohh wis macet barisane pating mecotot mentolo tak bom,macet
@unicelounge 200 dapet 2 yg putih kadang macet yg biru no minus baru aja bgt beli https://t.co/q1vhnhl6qg,macet
di agama gw ada istilahnya istidraj. yg itu katanya buat orang2 yg maksiat jalan tapi ibadah macet bahkan ga pernah tapi dunia dapet smua dan diatas rata2. konsepnya itu kyk ga diberkahin apa yg dia punya di dunia ini justru akan jd pemberat dia di afterlife.,jalan rusak
@convomf kalo ke kampus kurleb 30menit kalo ke kantor 45menit (klo ga macet) &amp; 1 jam (kalo macet),macet
@tanyarlfes aku punya nih yang ecentio awalnya sih aman aman aja yaa.. tp sekaramg udah mulai macet macet gamau idup padahal udah di charge semaleman wkwk,macet
@ndadindaaginta sebenernya bisa lebih cepet kalo lewat kota tpi gara² temenku yg sok²an katanya motong jalan malah kejebak macet ,jalan rusak
@diem_diem_aja intinya macet wkwk,macet
@upil_jaran2 mau macet beud pas gajah merah datang.,macet
